--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
0    1  1  0  1  1  1  0  0  0  0  1  0  0  0  0  0  1  1  1  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  1  1  1  -444.0       1     0.0
103  0  0  1  0  1  0  1  1  0  1  0  1  1  1  0  1  1  0  0  1  1  0  0  0  0  1  1  1  1  1  1  0  1  0  0  1  0  0  1  0 -443.75       1   0.025
1    1  1  1  0  1  1  1  1  0  1  1  1  0  1  0  0  1  1  0  1  0  0  0  0  1  0  1  0  1  0  1  1  0  0  0  0  0  0  1  0  -443.0       1     0.0
2    1  1  1  1  1  1  0  0  0  0  1  1  0  0  0  0  1  0  1  1  0  0  0  1  0  0  1  0  1  0  0  1  0  1  1  1  0  1  1  1 -441.75       1     0.0
119  1  1  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  1  1  1  0  0  0  0  0  1  1  0  1  1  1  1  1  1  1  -441.0       1   0.025
186  1  1  1  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  1  1  1  0  1  -441.0       1    0.05
3    1  1  1  1  0  1  1  1  1  1  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  0  0  0  0  0  0  0 -440.75       1     0.0
226  0  0  1  0  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  0  1  1  0  0  0  1  0  -440.0       1   0.025
4    1  1  1  1  1  1  0  0  1  0  1  1  0  1  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1  0  0  1  1  1  0  0  0  1  1  1  -439.0       1     0.0
5    1  1  1  0  1  1  1  1  1  1  0  1  1  1  0  1  1  0  0  1  1  0  0  0  0  1  0  1  1  1  0  0  1  0  0  1  0  0  0  0  -439.0       1     0.0
6    1  1  0  1  0  1  0  0  0  0  1  0  0  1  0  0  1  1  1  0  0  1  0  0  1  0  1  0  0  0  1  1  0  1  1  1  0  1  1  1  -439.0       1     0.0
127  0  0  1  0  0  0  1  1  0  1  1  1  0  0  0  1  1  1  1  1  0  0  0  0  0  1  1  1  0  1  1  0  1  0  1  0  0  0  1  1  -439.0       1   0.025
7    0  0  1  0  1  1  1  1  1  1  0  1  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  0  0  1  0  1  1  0  0  0  0  0  0 -438.75       1     0.0
8    1  1  1  1  0  1  0  0  1  1  1  0  0  1  1  0  1  0  1  0  0  0  1  0  1  0  0  0  1  1  0  1  0  1  0  1  0  0  1  1 -438.75       1     0.0
179  1  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  0  0  1  1  1  1  1  0  0  1  0  0  0  0  0  1  0 -438.75       1   0.025
9    1  1  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  0  0  1  0  1  0  1  0  0  0  0  1  0  1  1  1  0  0  0  1  1  1  -438.0       1     0.0
10   1  0  1  1  1  1  1  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  0  0  1  0  0  -438.0       1     0.0
11   1  1  1  1  1  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  1  0  1  1  1  -438.0       1     0.0
12   1  1  1  0  1  1  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  1  1  1  0  1  0  1  0  1  1  0  1  1  0  0  1  1  1  -438.0       1     0.0
128  1  0  1  0  0  0  1  1  1  1  1  0  0  1  0  0  1  1  0  1  1  1  0  0  0  1  1  0  0  0  1  1  1  0  0  1  0  0  1  0  -438.0       1   0.025
339  1  1  0  1  1  0  1  0  0  0  1  0  1  1  1  0  0  0  1  0  0  1  1  0  1  0  1  0  0  0  0  1  0  1  0  1  1  1  0  1  -438.0       1    0.05
13   1  1  1  0  1  1  0  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  1  1  1  0  0  1  1  0  1  0  0  1  1 -437.75       1     0.0
14   1  0  1  0  1  0  0  0  1  0  1  1  0  1  0  0  0  0  0  1  1  0  1  0  0  0  1  1  1  1  0  1  1  1  0  1  0  0  0  1 -437.75       1     0.0
187  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  0  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  0  1  0  1  1  1  0  1 -437.75       1   0.025
190  1  1  1  0  0  0  0  0  1  0  1  1  1  1  0  0  0  0  0  0  1  0  1  0  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1 -437.75       1   0.025
232  1  1  0  1  0  1  0  1  1  0  1  1  0  1  1  0  0  0  0  0  1  0  0  1  0  1  1  0  0  1  0  1  1  0  0  0  0  1  0  1 -437.75       1   0.025
239  0  0  1  0  1  1  1  1  1  1  0  1  0  1  0  1  1  0  0  1  1  1  0  0  0  1  0  0  0  1  1  0  1  1  0  0  0  0  0  0 -437.75       1    0.05
448  0  0  0  0  1  1  0  1  1  0  0  1  1  0  0  1  1  1  0  1  1  1  0  0  0  1  1  1  0  1  1  0  1  0  0  1  0  0  0  0 -437.75       1     0.1
15   0  1  1  0  1  1  0  1  1  0  0  1  1  1  0  0  1  1  0  1  1  0  0  0  0  0  1  1  1  0  1  0  1  0  0  1  0  0  0  1  -437.0       1     0.0
16   0  1  1  0  1  1  0  1  1  1  0  1  0  0  0  1  1  0  0  1  0  1  0  0  0  1  0  1  0  1  1  0  1  1  0  1  0  0  1  0  -437.0       1     0.0
235  1  1  1  1  0  1  0  0  0  0  0  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  0  0  1  0  0  1  0  1  0  1  1  1  0  1  -437.0       1   0.025
372  1  0  0  0  1  1  1  1  1  1  0  1  0  1  0  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  1  0  1  0  0  1  0  0  0  0  -437.0       1    0.05
407  1  1  0  1  0  1  0  0  0  0  1  0  0  1  1  1  0  0  1  0  0  0  1  0  0  0  1  1  1  1  0  1  0  1  0  1  1  1  0  1  -437.0       1   0.075
17   0  1  1  0  1  1  0  1  1  1  1  1  0  0  0  0  1  0  0  1  1  0  0  0  0  1  0  1  0  1  0  1  1  1  0  0  0  0  0  1 -436.75       1     0.0
18   0  0  1  1  1  1  0  1  1  1  0  1  1  1  0  0  1  0  0  1  1  0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  0  0  1  0 -436.75       1     0.0
19   1  1  1  0  1  1  0  0  0  0  1  1  0  1  1  0  0  0  1  1  1  0  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  1  1 -436.75       1     0.0
20   1  1  1  0  1  1  0  1  1  0  0  1  0  0  0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  0  1  1  1  0  1  1  0  0  0  1 -436.75       1     0.0
177  1  1  1  1  0  0  0  0  1  1  1  0  1  0  1  0  1  0  1  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  1  1  1  1  1  1 -436.75       1   0.025
192  1  1  1  1  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1 -436.75       1   0.025
254  0  0  1  0  1  1  0  1  1  0  0  1  0  1  0  0  1  1  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  1  0  0  0  0  1  0 -436.75       1   0.025
21   1  1  1  1  1  1  0  0  1  0  1  1  1  1  1  1  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  1  0  1  0  0  0  1  0  1  -436.0       1     0.0
22   0  1  1  1  0  1  1  1  0  1  0  1  1  1  0  1  1  0  0  1  0  0  0  1  1  1  0  1  1  0  0  0  0  0  0  1  0  0  1  0  -436.0       1     0.0
23   1  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  1  0  0  0  0  0  1  1  1  0  1  0  0  0  0  1  0  1  0  1  0  1  0  1  -436.0       1     0.0
24   1  1  0  1  0  1  1  0  1  0  1  0  0  1  0  1  0  0  1  0  1  0  1  0  0  0  1  0  0  1  0  1  1  1  0  0  0  1  1  1  -436.0       1     0.0
25   1  1  0  1  1  0  0  0  1  0  0  0  1  1  0  1  0  0  1  0  1  0  1  1  0  0  1  0  0  0  1  1  1  1  0  1  0  1  0  1  -436.0       1     0.0
26   1  1  1  0  1  1  0  1  0  0  1  1  0  1  0  1  0  0  0  0  1  1  1  0  0  1  0  0  1  1  0  1  0  1  0  0  0  1  0  1  -436.0       1     0.0
