--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
140  0  1  0  0  0  0  1  0  1  0  1  0  1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  1  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  0  0  0  1  1  1  1  0  -463.0       1     0.05
165  0  0  1  0  1  0  1  0  0  0  0  0  1  1  0  0  1  0  1  1  1  1  1  0  0  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  0  0  1  1  1  1  0  -463.0       1     0.05
228  0  0  1  0  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  0  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  0  1  0  1  1  0  1  0  0  1  1  1  1  0  -463.0       1 0.066667
25   0  0  0  0  1  0  1  1  0  0  1  0  1  0  0  1  1  0  1  1  1  1  1  1  1  1  0  1  0  0  0  1  0  0  1  1  0  1  0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  0 -462.75       1 0.016667
34   0  1  0  0  1  0  1  0  0  1  0  0  1  1  0  0  0  0  0  1  1  1  1  1  0  1  0  0  0  0  1  1  0  1  1  0  0  0  1  1  0  0  0  0  0  1  0  1  1  0  1  0  1  1  1  1  1  1  0  1 -462.75       1 0.016667
72   0  1  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  1  1  1  0  0  1  1  1  1  1  1  1 -462.75       1 0.033333
74   0  1  0  0  0  1  1  0  0  0  1  0  1  1  0  0  1  1  0  1  1  1  1  0  1  0  0  0  0  0  1  1  0  1  1  0  0  0  0  1  0  0  1  1  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0 -462.75       1 0.033333
210  0  0  0  0  0  0  1  1  0  0  0  0  1  1  1  0  0  0  1  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  0  0  0  0  0  1  0  0  1  0  1  1  0  1  1  1  1  0  0  1  0  1  1  1  1  0 -462.75       1 0.066667
59   0  0  0  0  0  0  1  0  1  0  1  0  1  0  1  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  1  1  1  0  1  0  0  0  0  1  0  0  1  0  1  1  0  1  1  0  1  0  1  1  1  1  1  1  1  0  -462.0       1 0.033333
78   0  0  0  0  0  0  0  0  0  1  0  0  1  1  1  0  0  1  1  1  1  1  1  0  0  1  0  0  0  0  0  0  1  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  1  1  1  0  0  0  0  1  1  1  1  0  -462.0       1 0.033333
126  0  1  0  0  0  0  1  1  0  0  1  0  1  1  0  0  0  0  1  1  1  0  1  0  0  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  1  0  1  1  1  0  0  1  1  0  1  0  1  0  0  1  1  1  0  1  -462.0       1     0.05
132  0  0  0  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  0  1  0  0  1  1  0  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  0  0  1  1  0  0  1  1  1  1  0  -462.0       1     0.05
30   0  0  0  0  0  0  0  1  0  0  1  0  1  0  1  1  1  0  1  1  1  0  1  0  0  1  1  1  0  0  0  1  1  0  1  0  0  0  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  1  1  1  1  1  1  1 -461.75       1 0.016667
39   0  0  0  0  0  0  1  1  0  0  1  0  1  0  1  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  0  0  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  0 -461.75       1 0.016667
43   0  0  1  0  1  0  0  1  0  0  1  0  1  1  1  0  0  0  1  1  1  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  1  1  0  1  1  0  0  0  0  1  1  1  0  0  1  0  1  1  1  1  1 -461.75       1 0.016667
142  0  0  1  0  0  0  1  0  0  0  0  0  1  1  1  0  0  1  0  1  1  1  1  0  0  1  1  1  1  0  1  1  1  0  0  0  0  0  0  1  0  0  1  1  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  1 -461.75       1     0.05
166  0  0  1  1  1  0  0  1  0  1  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  1  1  1  0  0  0  1  0  0  0  0  0  0  0  1  1  0  1  0  0  0  1  1  0  0  0  1  0  1  0  1  1  1  1  0 -461.75       1     0.05
90   0  1  0  0  0  1  1  0  0  0  1  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  1  1  0  0  1  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  -461.0       1 0.033333
174  0  0  1  0  0  0  0  1  0  0  1  0  1  1  0  0  1  0  0  1  0  1  1  1  0  1  1  1  0  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  0  1  1  1  0  1  0  0  0  1  1  1  1  1  0  1  -461.0       1     0.05
310  0  1  0  0  1  0  0  0  0  0  1  0  1  1  0  0  1  0  1  1  1  0  1  0  0  1  1  0  1  0  1  1  0  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  1  0  1  0  0  0  0  1  1  1  1  0  -461.0       1 0.083333
350  0  1  1  0  1  0  1  1  0  0  1  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  1  0  0  0  1  0  0  0  0  0  0  0  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  1  1  1  1  0  -461.0       1      0.1
4    0  1  1  1  1  0  0  0  0  0  0  0  1  1  1  0  1  0  1  1  0  1  1  0  0  1  1  1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  1  1  1  1  0 -460.75       1      0.0
31   0  0  0  0  1  1  1  0  0  0  0  0  1  0  0  1  0  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  0  0  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  1  0 -460.75       1 0.016667
32   0  1  0  0  0  0  1  0  0  0  0  0  1  0  1  0  1  0  1  1  1  1  1  0  0  1  0  0  1  0  1  1  0  0  1  0  0  0  0  1  0  1  1  0  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  0 -460.75       1 0.016667
5    0  0  0  1  0  0  1  1  0  1  0  0  1  0  1  1  1  1  1  1  0  1  1  1  0  1  0  0  0  0  1  0  1  0  1  0  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  -460.0       1      0.0
6    0  1  0  0  1  1  1  0  0  0  1  0  1  0  0  1  1  0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  1  1  0  1  0  1  0  1  1  1  0  0  -460.0       1      0.0
52   0  0  0  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  1  1  0  1  1  0  1  1  0  1  0  0  1  1  1  1  0  1  0  0  0  1  0  0  1  0  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  1  -460.0       1 0.016667
60   0  1  1  0  1  0  1  1  0  0  0  0  1  0  0  1  1  0  1  1  1  1  0  1  0  1  1  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  0  1  0  0  1  0  1  1  0  0  1  1  1  0  -460.0       1 0.033333
103  0  1  1  0  1  0  0  1  0  0  1  0  1  1  0  0  0  0  1  1  1  1  1  1  0  1  1  0  1  0  1  1  1  0  0  0  0  0  0  0  1  0  1  1  0  1  0  1  0  0  1  0  0  1  0  1  0  1  1  1  -460.0       1     0.05
136  0  0  1  0  0  0  1  1  0  0  0  0  1  1  0  0  0  0  1  1  1  1  1  1  0  1  0  1  0  0  1  0  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1  0  1  0  0  1  0  0  1  1  1  1  1  -460.0       1     0.05
183  0  1  1  1  1  0  1  1  0  0  0  0  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  1  0  1  1  1  0  -460.0       1     0.05
415  0  0  0  0  1  0  1  0  0  0  0  0  1  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  0  1  1  0  0  0  0  0  0  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  1  0  1  0  1  1  0  -460.0       1 0.116667
7    0  0  0  1  0  0  0  0  0  0  1  1  0  1  1  1  0  0  1  1  1  0  1  0  1  1  0  0  1  1  0  1  1  1  0  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1  1  1  0  0  1  1  1  1  0 -459.75       1      0.0
8    0  0  1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  1  0  1  0  0  1  1  1  0  0  0  0  0  0  1  0  1  1  1  0  0  0  1  0  1  1  1  0  0  1  1  1  1  1  0 -459.75       1      0.0
