--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
29   0  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  1  1  1  0  1  1  1  0  0  0  0  1  0  1  0  0  0  1  0  0  1  1  0  0  -329.0       1     0.0
274  0  1  1  0  0  1  0  0  1  0  1  0  1  1  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  0  1  1  0  1  0  1  0  0  0  -329.0       1   0.025
30   0  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  0  1  0  1  1  1  1  1  1  1  1  0  1  0  0  0  0 -328.75       1     0.0
31   1  1  0  0  1  1  0  0  1  1  1  1  1  1  0  0  0  1  1  0  0  0  1  0  0  0  1  1  0  1  0  1  0  1  0  0  1  1  1  0 -328.75       1     0.0
32   0  1  0  1  0  0  1  1  0  1  0  1  0  1  1  0  1  0  0  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  0  0  0  0 -328.75       1     0.0
33   1  1  0  1  0  1  0  0  1  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  0  1  0  1  0  0  1  0  1  0  0  1  1  1  0 -328.75       1     0.0
34   0  1  0  1  0  1  1  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  1  1  0  1  0  1  1  0  0  0  1  0  1  0  0  0  0 -328.75       1     0.0
216  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  1  0  1  0  1  1  1  0  0  1  0  1  1  0  0  1  1  1  0  0  1  0  0  1  0 -328.75       1   0.025
253  0  0  0  1  0  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  0  1  1  1  0  0  1  0  1  1  0  1  1 -328.75       1   0.025
35   1  0  1  1  0  1  0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  1  0  0  1  1  1  0  1  0  1  0  1  1  0  1  1  0  1  -328.0       1     0.0
36   0  1  0  1  0  0  1  1  1  1  0  1  1  1  0  0  1  0  0  1  1  0  0  0  0  0  1  1  1  1  1  0  0  1  0  0  0  0  0  0  -328.0       1     0.0
37   1  0  0  1  1  1  0  0  1  0  1  0  1  1  0  1  0  0  0  0  0  0  1  0  0  1  1  0  1  0  1  1  0  1  0  0  1  1  1  1  -328.0       1     0.0
38   0  0  1  0  1  1  1  1  1  1  0  0  1  0  1  1  0  0  0  0  1  0  1  1  1  0  1  0  1  0  0  1  1  0  0  1  0  0  1  0  -328.0       1     0.0
269  0  1  1  0  0  0  0  1  1  0  1  0  1  1  1  1  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  1  1  0  0  1  0  0  0  0  -328.0       1   0.025
488  0  1  1  0  0  0  1  1  1  1  0  0  1  1  0  1  1  0  0  0  1  0  1  1  1  0  1  0  0  0  0  1  1  0  0  1  0  0  0  0  -328.0       1   0.025
39   0  1  0  1  0  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  0  1  0  0  0  0 -327.75       1     0.0
40   0  1  1  1  0  1  0  0  1  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  1 -327.75       1     0.0
