--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
30   0  1  1  1  0  0  1  1  1  0  0  1  0  0  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  1  0  0  1  0  0  1  1  0  1  1  -206.0       1     0.0
31   1  0  0  0  1  1  1  0  0  1  1  1  0  0  1  0  1  0  1  1  1  1  1  1  0  1  0  0  0  0  1  1  0  1  0  1  0  0  0  0  -206.0       1     0.0
32   1  1  0  1  0  1  1  1  1  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  0  1  0  0  0  0  1  0  1  0  1  0  0  0  1  -206.0       1     0.0
33   0  0  0  1  1  0  0  0  0  1  0  1  1  0  0  1  1  0  1  0  1  1  1  1  0  1  0  1  0  1  0  1  0  0  1  0  1  1  1  0  -206.0       1     0.0
217  1  1  1  1  0  1  1  1  1  0  0  0  0  1  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0  -206.0       1   0.025
341  1  0  1  0  0  0  0  1  1  1  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  0  1  0  0  1  1  0  0  0  0  0  0  0  1  0  -206.0       1   0.025
34   0  0  0  1  1  0  0  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  0  1  0  1  1  0  1  0  1  1  1  1  0  1  0  1  1 -205.75       1     0.0
35   0  0  0  1  0  0  1  1  1  0  0  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1 -205.75       1     0.0
36   1  1  1  0  1  1  0  1  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0 -205.75       1     0.0
37   0  1  0  1  1  0  0  0  1  0  1  0  1  0  1  0  1  1  0  0  1  0  0  0  1  0  1  1  0  1  0  1  1  0  1  0  1  0  0  1 -205.75       1     0.0
