--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
85   1  0  1  0  1  0  1  1  1  0  1  1  1  0  0  0  0  1  1  1  1  1  0  0  1  0  0  1  0  0  0  0  1  0  1  1  0  0  1  0  0  1  0  1  1  0  0  0  1  1 -312.25       1    0.02
0    0  0  1  0  1  1  1  1  1  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  1  1  1  1  0  0  1  0  0  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  -312.0       1     0.0
1    1  0  1  0  1  0  0  1  1  0  1  1  0  0  0  0  0  0  1  0  0  1  1  1  1  1  1  1  0  0  0  0  0  0  1  0  1  1  0  0  0  1  0  1  1  1  0  0  1  0 -311.25       1     0.0
2    1  0  0  0  0  1  1  1  1  0  1  0  1  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  1  0  0  0  0  0  1  0  1  0  1  0  1  1  0  0  0  1  1 -311.25       1     0.0
3    1  0  1  0  1  0  0  1  0  0  1  1  0  1  1  0  0  1  1  1  0  0  1  1  0  1  1  1  0  0  0  0  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  0  0 -310.25       1     0.0
4    1  0  1  1  1  1  1  1  1  0  0  1  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0  1  0  0  0  1  1  0  0  1  1  1  0  0  1  1  1 -310.25       1     0.0
72   0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  1  1  1  1  1  1  1  0  0  1  1  0  1  0  1  0  0  1  1  1  1  0  0  1  0  1  0  0  0  0  0  1 -310.25       1    0.02
5    1  0  1  1  0  0  1  1  0  1  1  1  0  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  1  0  0  0  1  0  0  1  1  0  1  0  0  1  0  0  0  1  1  1  0  0 -309.25       1     0.0
6    0  0  1  1  0  0  1  1  0  1  1  1  0  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  1  1  1  1  1  0  0 -309.25       1     0.0
7    0  0  1  1  0  1  0  1  0  1  1  1  0  1  1  1  0  0  0  0  1  0  1  0  0  1  0  1  0  1  0  0  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  1  0  0  -309.0       1     0.0
8    1  0  0  1  1  1  0  1  1  0  1  0  1  1  0  0  0  0  1  0  0  0  1  0  0  0  1  1  0  1  0  1  0  1  1  0  1  1  0  0  0  1  0  1  1  1  1  0  0  0  -309.0       1     0.0
9    1  0  0  0  1  1  0  0  1  0  1  0  0  1  0  0  0  1  1  0  0  0  1  0  0  0  1  1  0  1  0  1  1  0  1  1  1  1  1  0  0  1  0  1  1  0  1  0  0  1  -309.0       1     0.0
10   1  1  1  0  1  1  1  0  1  0  1  0  0  1  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1 -308.25       1     0.0
11   1  0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  0  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  1  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  0  0 -308.25       1     0.0
12   1  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  0  0  0  1  0  0  1  0  1  0  0  0  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  0 -308.25       1     0.0
203  1  0  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  1  0  0  0  1  1  0  0  0  1  0  0  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  1  1  1  0  0 -308.25       1    0.02
13   1  0  1  1  1  1  0  1  0  1  1  1  0  1  1  1  0  0  1  0  0  0  0  1  0  1  0  1  0  0  0  0  1  1  0  0  1  1  1  0  0  1  0  0  1  1  1  1  0  0  -308.0       1     0.0
14   0  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  0  0  1  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  0  1  1  -308.0       1     0.0
15   1  0  1  1  0  1  0  1  1  1  1  1  0  0  1  0  0  0  1  0  0  0  0  0  1  1  0  1  0  0  0  1  1  1  0  0  1  0  0  0  0  1  0  0  1  1  1  1  1  0  -308.0       1     0.0
16   0  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  0  1  1  0  0  0  1  0  1  1  1  1  1  0  1  1  0  0  0  0  1  0  0  1  -308.0       1     0.0
17   1  1  1  0  1  1  1  0  1  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  0  0  1  1  0  0  0  1  1  1  1  1  1  0  0  1  0  0  0  1  1  1  0  0  0  -308.0       1     0.0
18   1  0  1  1  1  1  0  1  1  1  1  0  1  0  0  0  0  1  0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  1  1  -308.0       1     0.0
201  1  0  1  0  1  1  0  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  0  1  1  0  1  1  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  0  0  1  0  0  -308.0       1    0.02
19   1  0  0  1  0  0  0  1  1  1  1  1  0  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  1  0  1  1  0 -307.25       1     0.0
20   0  0  1  0  1  1  0  1  1  1  1  1  0  0  1  1  0  0  1  0  0  1  1  1  1  1  1  1  0  0  0  0  0  0  1  0  1  0  1  0  1  1  1  0  0  1  1  1  0  0 -307.25       1     0.0
21   1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  0  1  1  1  0  0  0  1  0  1  1  1  0  1  0  0  0  0  0  1  0  0  1  0  1  1  0  1  1  0  0  0  0  0  1 -307.25       1     0.0
22   0  0  1  1  0  0  1  0  0  1  0  1  0  0  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  1  0  0 -307.25       1     0.0
226  0  1  1  1  0  0  0  1  1  1  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  0  0  1  0  0  1  0  0  0  0  0  0  1  0  1  1  1  1  0  0 -307.25       1    0.02
353  0  0  1  0  1  1  1  1  1  0  1  1  1  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  1  1  1  0  0  0  1 -307.25       1    0.02
23   1  0  1  0  1  1  1  0  0  0  1  0  1  1  0  1  0  1  1  0  0  0  1  1  0  1  1  1  0  0  0  0  1  0  1  1  1  1  0  0  1  1  0  0  1  1  1  0  0  0  -307.0       1     0.0
24   0  0  1  1  0  0  0  1  1  1  0  1  0  0  1  1  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  0  0  1  1  1  1  1  0  0  1  0  0  0  1  0  1  0  0  -307.0       1     0.0
187  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  1  1  0  0  0  0  1  0  1  1  1  0  1  1  1  0  0  0  0  1  0  1  0  1  0  0  0  1  1  0  0  1  1  0  -307.0       1    0.02
25   0  0  1  0  0  1  1  1  1  1  1  1  0  0  1  1  0  0  1  0  0  0  0  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  1  0  0  1  0  1  0  0  0  1  1  1 -306.25       1     0.0
26   0  0  1  1  1  0  0  1  0  1  1  1  0  0  1  1  0  0  0  0  0  0  1  1  1  1  1  0  0  1  0  0  0  1  0  0  1  1  0  1  0  0  1  1  1  0  1  1  1  0 -306.25       1     0.0
27   0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  -306.0       1     0.0
28   1  0  1  0  1  1  0  1  1  1  0  1  0  1  1  0  0  0  1  0  0  0  1  1  1  1  0  1  0  0  0  0  1  0  1  1  1  0  1  0  0  1  1  0  1  1  0  1  0  0  -306.0       1     0.0
29   0  0  1  1  0  0  0  0  1  1  0  1  0  1  1  1  0  0  1  0  1  1  0  1  0  0  0  0  1  1  0  1  1  0  0  1  1  0  1  0  0  1  0  0  1  0  1  1  0  1  -306.0       1     0.0
191  0  1  1  0  1  1  1  1  1  0  1  0  0  1  1  1  0  1  1  1  0  0  0  1  0  0  0  0  1  1  0  0  1  1  1  0  0  1  1  1  0  0  0  1  1  0  0  0  1  0  -306.0       1    0.02
202  1  0  1  1  0  0  0  1  0  1  1  1  0  1  1  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  1  1  1  1  1  0  0  -306.0       1    0.02
30   1  1  1  0  1  1  0  0  0  0  1  0  1  1  1  0  0  1  1  1  0  0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -305.25       1     0.0
31   0  0  1  1  0  1  0  0  1  1  0  1  0  1  1  1  0  0  1  0  0  1  1  1  0  0  0  1  1  0  0  0  1  0  1  0  1  1  1  0  1  0  1  0  1  0  1  1  0  0 -305.25       1     0.0
217  0  1  0  1  0  1  0  0  0  0  1  1  0  1  0  1  1  1  0  0  1  0  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  1  1  1  0  1  0  1  0  0  0  0  1  1 -305.25       1    0.02
219  1  0  1  1  1  0  0  1  0  0  0  1  0  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  1  0  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  0 -305.25       1    0.02
32   0  0  1  0  1  1  1  0  1  0  1  0  0  1  0  1  0  0  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  1  1  1  0  0  0  1  0  0  1  0  0  0  1  1  -305.0       1     0.0
33   1  0  1  1  1  0  0  1  0  1  1  1  0  1  0  0  0  0  0  1  0  0  1  1  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  0  0  1  0  0  0  1  1  1  0  0  -305.0       1     0.0
34   1  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  0  0  0  1  0  0  1  1  0  1  0  0  0  1  1  0  1  0  1  0  0  0  0  1  0  1  1  1  1  1  0  0  -305.0       1     0.0
35   0  0  0  1  0  0  1  1  1  0  1  1  1  1  1  1  0  0  0  0  0  0  1  1  1  1  1  1  0  0  0  0  0  1  0  0  1  1  0  1  0  0  0  1  1  1  0  1  0  0  -305.0       1     0.0
233  0  1  1  1  0  1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  1  0  1  0  0  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  0  -305.0       1    0.02
36   1  0  1  1  1  1  1  1  1  0  1  1  0  0  1  1  1  1  1  0  0  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0  1  1  1  0  0  0 -304.25       1     0.0
37   0  0  1  1  1  1  1  1  1  1  1  1  0  1  1  1  0  0  1  0  0  0  0  1  1  0  0  1  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0  0  1  1  1  1  1  0 -304.25       1     0.0
38   1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  0  0  1  1  1  1  0  1  0  0  1  1  0  0  0  0  1  0  0  0 -304.25       1     0.0
39   0  0  1  1  0  0  0  0  1  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  1  1  0  0  1  0  1  0  0  1  0  0  1  0  1  1  0  0 -304.25       1     0.0
40   1  0  0  0  1  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  0  0  0  1  0  0  1  1  0  0  0  1  0  1  1  0  0  1  1  1  0  1  0  1  1  0  0  0  0  1 -304.25       1     0.0
189  0  1  0  1  0  1  1  0  1  0  1  1  1  1  0  1  1  0  0  0  0  0  0  0  1  1  1  0  0  1  1  0  0  1  0  0  0  1  0  1  0  0  1  1  1  1  0  1  1  0 -304.25       1    0.02
192  1  0  0  0  1  1  0  0  0  0  0  0  1  1  0  1  0  0  1  1  0  0  1  0  0  0  1  1  1  0  1  1  1  0  1  0  1  1  1  0  1  1  0  1  1  0  1  0  0  1 -304.25       1    0.02
220  1  0  1  1  0  0  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  1  1  1  0  0  0  1  0  1  0  0  1  0  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  0 -304.25       1    0.02
259  0  0  1  0  1  1  1  1  1  0  1  1  1  0  1  0  0  1  1  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  1  0  1  1  0  0  1  0  1  1  1  0  1  1  0 -304.25       1    0.02
330  1  0  0  0  1  0  1  1  1  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  0  0  1  1  0  0  0  1  1  1  0  0  1  0  0  1  1  0  0  1  1 -304.25       1    0.04
41   0  1  0  1  0  0  1  0  1  0  0  0  0  1  0  1  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  0  0  1  -304.0       1     0.0
42   0  0  1  1  0  0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  0  1  1  1  1  0  1  1  0  0  0  0  1  1  0  0  -304.0       1     0.0
43   1  0  1  0  1  1  1  1  0  0  1  1  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  1  1  1  1  0  1  0  0  1  1  1  0  0  0  1  0  0  1  1  1  0  1  1  -304.0       1     0.0
44   0  1  1  0  1  0  0  0  0  0  1  1  0  1  0  1  1  1  1  1  0  0  0  1  0  1  1  1  1  0  1  0  0  1  1  0  0  1  1  1  1  1  0  0  0  1  1  0  0  0  -304.0       1     0.0
45   1  0  1  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1  1  0  0  0  1  0  -304.0       1     0.0
46   1  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  1  0  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  1  0  0 -303.25       1     0.0
47   1  0  1  1  0  0  0  1  0  1  1  1  0  1  1  1  0  1  1  0  0  0  0  1  1  1  1  1  1  1  0  0  0  1  0  0  1  0  0  0  0  1  0  0  1  1  1  0  0  0 -303.25       1     0.0
48   1  0  1  0  0  1  1  1  1  0  1  0  0  1  1  0  0  0  1  1  0  0  0  1  0  0  1  1  0  0  0  0  1  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  0  0 -303.25       1     0.0
49   1  0  1  0  0  1  1  1  1  0  1  1  0  1  0  1  0  1  1  0  0  1  0  1  0  0  0  1  1  0  0  0  1  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0  0  1 -303.25       1     0.0
50   0  0  0  0  1  1  0  0  0  1  1  1  1  1  0  1  0  1  1  1  1  0  0  0  0  0  0  0  1  0  1  0  0  1  1  0  0  1  1  1  1  1  0  0  0  0  1  0  0  1 -303.25       1     0.0
128  1  1  1  0  0  1  0  0  0  1  0  1  0  1  1  1  0  1  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  1  1  0  1  1  0  0  0  0  1  0  0  0 -303.25       1    0.02
179  1  0  1  1  1  0  0  1  0  0  0  1  0  1  0  1  0  0  0  0  0  1  1  1  1  0  0  1  0  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  1  1  0  1  0  0 -303.25       1    0.02
227  0  1  0  0  1  0  1  0  0  0  1  1  0  1  0  1  1  1  1  1  1  0  0  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  1  1  1  0  0  0  0  0  0  0  0  1 -303.25       1    0.02
270  0  1  1  1  1  0  0  0  1  0  1  1  0  1  0  1  1  1  1  0  1  0  0  0  1  1  1  1  1  1  1  0  0  1  0  0  1  1  0  1  0  0  0  0  0  0  0  0  1  0 -303.25       1    0.02
