--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
224  0  1  1  1  0  0  1  1  1  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  1  0  1  0  0  1  1  1  0  1  0  1  0  0  1  1  1  0  1  0  0  1  0  1  0 -675.25       1    0.08
107  0  1  1  1  0  0  1  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  1  1  1  1  0  1  1  0  0  1  1  -675.0       1    0.04
334  0  1  1  1  0  0  1  1  0  1  0  1  0  1  0  0  1  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0  0  1  1  -675.0       1    0.06
10   0  1  0  1  1  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  1  0  1  1  1  0  1  1  0  1  1  1  0  1  1  0  1  0  1  1  0  1  0  0  1  1  1  0  1 -674.25       1     0.0
187  0  1  1  1  0  0  0  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  1  0  0  1  1  1  0  1  0  1  1  0  0  1  0  1  0  1  1  0  0  0  0 -674.25       1    0.04
481  0  1  1  1  0  0  1  0  0  1  0  0  0  0  1  0  1  0  0  0  0  0  1  1  0  1  1  1  0  0  1  1  1  0  0  0  1  0  0  1  1  1  0  1  1  1  1  0  1  1 -674.25       1     0.1
11   1  1  0  1  1  0  0  1  0  0  1  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  1  0  1  1  0  1  0  1  1  1  0  0  1  -674.0       1     0.0
12   0  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  1  0  0  1  0  1  0  1  1  1  1  0  0  0  0  0  0  1  0  1  1  1  1  0  1  1  0  -674.0       1     0.0
96   1  0  0  0  1  0  0  1  1  0  0  1  1  0  1  0  0  0  1  1  0  1  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  1  1  0  0  0  -674.0       1    0.02
232  1  0  0  0  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  1  1  1  1  0  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  1  1  1  0  0  0  1  -674.0       1    0.06
291  0  1  1  1  0  0  1  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  1  1  0  1  1  0  1  0  1  0  1  0  1  0  0  1  0  1  1  1  1  1  1  1  0  0  1  0  -674.0       1    0.08
83   0  1  1  1  1  1  0  1  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  1  1  0  0  0  0  0  1  0  1  1  1  0  1  0  0  1  1  0  0  1  0  0  0  1  1  1 -673.25       1    0.02
137  0  1  1  1  1  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0  1  0  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  0  1  0 -673.25       1    0.04
198  0  1  0  1  0  0  1  1  0  1  0  1  0  0  0  1  1  0  0  0  0  0  1  1  1  1  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  1  1  1  1  0  0  0  1 -673.25       1    0.06
13   1  0  1  0  1  0  0  1  0  1  1  0  0  1  1  1  1  0  0  1  1  0  1  1  0  1  1  0  0  1  1  0  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  0  0  0  -673.0       1     0.0
154  0  1  1  1  0  0  1  1  0  1  0  0  0  1  1  0  1  0  0  1  0  0  1  0  1  1  1  1  0  0  1  1  1  0  1  0  1  0  0  1  1  1  1  1  0  0  0  0  1  0  -673.0       1    0.04
14   1  1  0  0  1  0  0  1  0  1  0  0  0  0  1  1  0  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  1  1  1  1  0  0  0  0  1  0  1  1  1  1  1  1 -672.25       1     0.0
67   0  1  0  1  0  1  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  0  0  0  0  0  1  1  1  0  0  0  1  0  0  1  0  1  1  1  1  1  0  0  1  1 -672.25       1    0.02
124  0  1  1  1  1  1  1  0  1  1  0  1  0  0  1  1  1  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  1  1  0  1  1  1  0  1  1  0  0  0  1  0 -672.25       1    0.04
380  0  1  1  1  0  0  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  0  1  0  0  0  0  1  1  1  0  1  0  1  0  0  1  1  1  0  1  1  0  0  0  1  1 -672.25       1    0.12
15   0  1  1  0  1  0  1  1  0  1  1  0  1  0  0  1  1  0  0  1  0  0  1  1  0  0  0  1  1  1  1  0  1  0  1  0  1  1  0  1  1  0  1  1  1  0  0  0  0  0  -672.0       1     0.0
