--------------- DW_2000Q_6 ---------------
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
125  0  1  0  0  1  0  1  1  0  0  0  0  1  1  1  0  1  0  1  0  0  0  1  0  1  0  0  1  1  0  0  0  1  0  1  0  0  0  0  1  0  1  1  1  1  0  1  0  1  1  1  1  1  0  1  0  1  1  1  0  -707.0       1 0.033333
66   0  0  1  1  1  0  0  0  1  0  1  0  1  1  1  0  1  1  0  0  0  0  1  1  1  0  0  1  0  1  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  1  0  0  1  1  1  1  0  0 -706.75       1 0.016667
174  0  1  1  0  1  0  0  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  1  0  1  1  0  0 -705.75       1     0.05
354  0  1  0  0  1  0  1  0  1  1  1  0  1  0  1  0  1  1  0  0  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  0  1  0  1  0  1  1  0  0 -705.75       1 0.083333
371  0  1  0  0  1  1  0  1  0  1  1  0  1  1  1  0  1  1  0  0  0  1  1  0  0  0  0  0  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  1  1  0  0  0  1  1  1  0 -705.75       1 0.066667
58   0  1  0  0  1  0  0  0  1  1  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  0  0  0  1  0  1  1  1  1  0  0  1  1  1  0  1  1  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  0  -705.0       1 0.016667
78   0  1  0  0  1  0  0  1  0  0  1  0  1  0  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  1  0  1  1  1  0  -705.0       1 0.033333
116  0  1  0  0  1  0  1  0  0  0  1  0  1  0  1  0  0  1  0  1  0  1  1  1  1  0  0  0  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  0  1  0  1  1  1  1  0  0  -705.0       1 0.033333
269  0  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  0  1  0  1  0  0  0  1  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  1  1  0  1  0  1  1  1  1  0  0  -705.0       1 0.066667
304  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  1  1  0  0  1  1  1  0  0  1  0  1  1  1  0  0  1  1  1  1  0  1  1  1  0  1  1  0  0  1  0  1  0  1  1  1  1  1  0  -705.0       1     0.05
51   0  0  0  0  1  0  0  1  0  0  1  0  1  0  0  0  1  0  0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  1  1 -704.75       1 0.016667
147  0  1  0  0  1  0  0  1  1  0  1  0  1  0  1  0  1  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  1  0  1  1  1  1  1  1  1  1  0  0  0  1  1  1  1  1  0  1  0  1  1  0  0 -704.75       1 0.033333
303  0  1  0  0  1  0  0  1  1  0  1  0  1  1  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  0  1  1  1  0  1  0  1  1  0  0 -704.75       1 0.083333
49   0  1  0  0  1  1  1  1  1  0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  1  0  1  0  1  1  0  1  1  0  1  -704.0       1 0.016667
171  0  0  1  1  1  0  0  0  1  1  1  0  1  0  0  0  1  1  1  0  0  1  0  1  0  0  1  1  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  0  0  1  0  1  0  0  0  1  0  1  1  1  1  -704.0       1 0.016667
183  0  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  0  1  0  1  1  1  1  0  1  0  0  1  0  0  0  1  1  1  1  1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  0  -704.0       1     0.05
232  0  1  0  0  1  0  0  1  1  1  1  1  1  0  1  0  1  1  0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  1  1  1  0  0  0  1  0  1  1  1  0  1  0  0  1  0  1  -704.0       1     0.05
11   0  1  1  0  0  1  0  1  0  0  1  1  0  0  1  1  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  0  0  1  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  1  1  0  1  0 -703.75       1      0.0
38   0  1  1  1  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  0  1  0  1  0  0  1  1  1  0  1  1  1  1  0  0  0  1  1  0  0  1  0  1  1  1  0  1  0 -703.75       1 0.016667
75   0  1  0  0  1  0  1  1  1  1  1  0  1  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  0  0  1  0  1  1  1  1  1  1  0  0  1  1  1  0  1  0  0  0  1  0  1  1  1  0  0  1  0  1  0  0 -703.75       1 0.016667
153  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  0  1  1  1  1  0 -703.75       1 0.033333
223  0  1  0  0  1  0  0  0  0  1  1  0  1  0  1  0  1  0  0  1  1  0  1  0  1  0  0  0  0  0  0  0  1  1  1  1  1  0  1  1  1  1  1  1  1  0  0  0  1  1  0  1  0  0  1  0  1  1  0  0 -703.75       1     0.05
328  0  1  0  0  1  0  1  1  0  1  1  0  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  0  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  1  0  0  0  1  0  0  1  1  0  0 -703.75       1 0.066667
361  0  1  0  0  1  0  1  1  0  1  1  0  1  1  1  0  1  1  0  1  0  0  1  0  1  0  0  1  0  0  1  0  1  1  1  1  0  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -703.75       1      0.1
127  0  1  1  0  1  0  0  0  1  1  1  0  1  0  1  0  1  1  0  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  0  1  0  0  1  1  0  -703.0       1 0.033333
359  0  1  0  0  1  0  0  1  1  1  1  0  1  0  1  0  0  1  0  1  0  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  0  -703.0       1 0.083333
203  0  0  1  1  0  0  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  1  0  1  1  1  0  1  1 -702.75       1 0.033333
