--------------- DW_2000Q_6 ---------------
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
15   0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  1  0  1  0  1  1  1  1  0  0  1  1  1  1  1  1  1  1  1  1  0 -496.25       1     0.0
314  0  1  1  0  0  0  0  0  0  1  0  0  0  0  1  1  0  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  1 -496.25       1    0.04
16   0  0  1  0  1  0  0  0  1  1  0  1  0  0  1  1  0  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  1  1  -496.0       1     0.0
17   1  1  0  1  1  1  0  1  0  1  1  0  0  1  1  0  0  0  0  0  1  1  0  1  0  1  0  1  0  1  1  1  0  1  0  0  1  1  1  1  0  0  0  1  0  1  1  0  0  0  -496.0       1     0.0
18   1  1  1  1  1  1  0  0  0  1  0  0  0  0  1  0  0  1  0  1  0  0  0  0  1  1  1  1  1  1  0  0  0  1  0  1  0  0  0  1  1  0  1  1  0  1  0  1  1  0 -495.25       1     0.0
118  1  0  0  0  0  0  0  1  0  1  1  1  0  1  1  0  0  1  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  0  1  1  1  1  0  0  1  1  0  1  0  1  0  0 -495.25       1    0.02
179  0  1  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  1  1  1  1  1  0  0  1  1  1  0  0  0  0  1  1  1 -495.25       1    0.02
185  0  0  0  1  0  1  0  1  0  0  1  0  0  1  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  1  0  0  1  0  1  1  1  1  0  1  0  1  1  1  1  0 -495.25       1    0.02
19   1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  0  0  1  1  0  0  0  1  1  1  0  0  1  0  1  1  1  0  1  0  0  1  1  1  0  1  0  1  1  1  1  0  1  0  0  -495.0       1     0.0
20   1  1  1  0  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  0  1  0  1  0  1  1  1  0  0  0  1  1  0  -495.0       1     0.0
21   1  1  1  0  1  1  1  0  0  0  0  1  0  0  1  1  0  0  0  1  0  0  1  1  1  1  1  1  0  0  1  1  0  1  0  1  0  0  0  0  1  1  1  0  0  0  1  1  0  1  -495.0       1     0.0
22   0  1  0  0  0  0  1  1  1  0  1  1  1  0  0  0  1  0  1  0  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  0  1  1  1  -495.0       1     0.0
195  1  0  0  0  0  0  1  1  1  0  1  0  0  0  1  0  0  1  1  1  1  1  1  1  1  0  0  1  0  1  1  1  1  1  0  0  1  0  0  0  0  1  0  1  1  1  1  0  0  0  -495.0       1    0.02
277  1  1  0  1  0  0  0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  0  1  0  1  1  1  0  0  0  0  0  0  1  1  0  0  0  1  1  1  1  0  1  0  -495.0       1    0.04
431  0  0  1  0  0  0  0  1  1  1  0  1  0  0  1  0  1  1  1  0  1  0  0  0  1  0  0  0  1  1  1  1  0  1  1  0  1  0  0  0  1  0  1  1  1  1  1  1  1  0  -495.0       1    0.04
455  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  1  1  0  0  0  0  1  0  1  0  1  1  0  1  0  1  1  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  -495.0       1    0.08
23   1  1  1  0  1  1  0  0  0  1  0  0  0  0  1  0  1  1  1  1  0  0  0  1  1  0  0  0  1  1  1  0  1  1  0  0  0  0  0  0  1  0  1  1  1  0  1  1  1  0 -494.25       1     0.0
24   1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  1  1  0  1  0  1  1  1  0  0  1  0  1  1  0  0  1  0  0  0  0  1  0  0  1  0  0  0  1  1  0  0  0 -494.25       1     0.0
25   0  0  0  0  0  0  1  0  1  0  1  1  1  0  1  0  1  1  1  1  1  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  1  0  0  1  0  1  1  0  1  0  0  0  1 -494.25       1     0.0
173  0  1  1  0  1  0  1  0  0  0  0  0  0  0  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  1  0  1  1  0  1  1  1  0  0  1  0  1  0  0  1  1  0  1  1 -494.25       1    0.02
26   0  0  1  0  0  0  0  0  0  0  1  1  0  0  1  0  0  1  0  0  0  0  1  1  1  0  0  1  1  1  1  0  0  1  0  1  0  0  1  1  1  1  0  1  1  1  1  1  1  0  -494.0       1     0.0
27   0  0  0  0  0  1  1  0  1  1  0  0  0  0  0  1  0  1  1  0  0  0  1  1  1  0  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  0  1  1  0  1  1  1  0  0  -494.0       1     0.0
28   1  0  1  0  0  0  1  0  0  1  0  1  0  0  1  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  0  1  0  0  0  1  0  1  0  1  1  0  0  1  0  1  1  1  -494.0       1     0.0
29   0  1  1  1  0  0  0  1  0  0  1  1  0  0  1  0  0  1  0  1  0  0  0  1  1  0  0  0  1  1  1  1  1  1  0  0  1  0  0  1  0  0  0  1  1  1  1  0  1  0  -494.0       1     0.0
30   0  0  1  1  1  0  1  1  0  0  1  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  0  0  1  0  0  0  1  1  0  0  0  0  1  0  1  0  1  0  1  1  0  1  1  -494.0       1     0.0
31   0  1  0  0  0  0  0  0  1  0  1  0  0  0  1  1  1  1  1  1  1  0  1  1  1  0  0  0  1  1  1  0  0  1  0  0  1  0  0  0  1  0  1  1  1  0  1  1  1  1  -494.0       1     0.0
126  1  1  0  1  1  0  0  1  0  0  1  1  0  0  0  1  0  1  0  0  0  1  1  0  0  1  0  1  0  1  1  1  0  1  0  0  0  0  1  1  0  1  0  1  1  1  1  0  0  0  -494.0       1    0.02
198  0  0  0  1  0  1  1  1  0  0  1  1  0  0  1  1  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  0  0  0  0  1  0  1  0  1  0  1  1  0  1  1  0  1  0  -494.0       1    0.02
32   0  0  1  0  0  1  1  1  0  0  1  1  0  0  1  0  0  1  0  1  0  0  1  1  1  0  0  1  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  1  1  0 -493.25       1     0.0
33   0  0  1  1  0  0  0  0  0  0  1  1  1  0  0  1  0  1  0  0  0  0  1  1  0  1  0  1  0  1  0  0  0  0  0  0  1  0  1  1  1  0  1  1  1  1  1  0  1  1 -493.25       1     0.0
34   1  0  1  0  1  0  0  0  1  1  0  1  0  0  0  0  0  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  0  1  0  0  0  0  0  1  1  1  1  1  1  1  0  1  1  0 -493.25       1     0.0
35   1  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  1  0  1  0  1  0  0  0  1  0  1  0  0  0  1  0  0  1  0 -493.25       1     0.0
36   1  0  1  1  1  0  1  0  0  1  0  0  0  0  0  1  0  1  0  1  0  1  1  0  0  1  1  1  0  0  1  0  1  0  0  1  0  0  1  1  1  1  0  0  1  1  1  0  1  0 -493.25       1     0.0
160  0  0  1  0  0  1  1  0  1  1  0  0  0  0  0  0  1  0  1  0  0  0  1  0  1  0  0  1  1  1  1  1  1  1  0  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0 -493.25       1    0.02
180  0  1  1  0  1  1  0  0  1  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  1  1  1  1  1  1  0  0  0  1  0  1  1  1  0  1  0  1  1 -493.25       1    0.02
197  0  1  1  0  1  1  0  0  0  0  0  1  0  0  1  0  0  0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  1 -493.25       1    0.02
37   0  1  1  0  0  1  1  0  1  1  1  0  0  0  1  0  0  0  1  1  0  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  1  1  0  0  0  1  0  -493.0       1     0.0
38   1  0  0  0  0  0  1  1  0  0  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  1  0  1  0  1  0  0  1  0  1  0  1  -493.0       1     0.0
39   0  1  1  1  0  0  0  1  0  1  1  0  0  0  1  1  1  1  1  0  1  0  0  0  1  0  0  0  1  1  1  1  1  0  0  0  1  0  0  1  0  1  1  0  1  1  1  0  1  0  -493.0       1     0.0
40   0  0  0  0  0  1  1  0  1  1  0  0  1  0  1  0  1  0  1  0  0  0  0  1  1  0  1  1  1  0  0  1  0  1  1  1  1  1  0  0  1  0  1  1  0  1  0  1  1  1  -493.0       1     0.0
41   0  1  1  0  1  0  1  0  1  0  1  1  0  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  0  0  1  1  0  0  0  0  0  0  0  1  1  0  1  1  0  1  1  1  -493.0       1     0.0
113  1  1  1  0  0  0  0  1  0  0  1  1  1  0  1  0  0  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  0  1  0  0  0  0  1  0  0  1  0  0  1  1  1  0  1  0  -493.0       1    0.02
306  0  0  1  0  0  1  0  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  1  0  1  0  0  1  0  0  1  1  1  1  1  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  -493.0       1    0.04
345  1  1  1  0  0  1  0  0  1  1  0  0  0  0  0  0  1  1  1  0  0  0  0  0  1  0  1  0  1  1  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  0  1  1  1  0  -493.0       1    0.04
42   0  1  1  1  1  1  0  1  0  0  1  1  1  0  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0  1  0  0  0  1  0  0  1  0  0  0  1  0  1  1  1  0  1  0  1  1 -492.25       1     0.0
226  0  0  0  1  0  0  1  1  1  0  1  0  0  0  1  0  0  1  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  0  1  1  0  0  0  1  0  0  1  0  1  1  0  0  0 -492.25       1    0.02
350  1  0  1  0  0  0  1  1  0  0  0  0  0  0  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  1  1  0  0  1  0  0  0  0  0  1  1  1  1  1  0  1  0  0  1  0 -492.25       1    0.04
43   1  1  0  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  0  0  1  0  1  1  0  0  1  1  1  1  0  0  1  1  0  1  1  0  0  0  1  0  1  0  0  1  0  -492.0       1     0.0
44   1  0  1  1  0  0  1  1  0  0  1  0  0  0  1  1  0  1  0  1  1  1  1  1  1  0  0  0  0  1  0  0  1  0  1  0  1  0  0  0  1  1  1  1  0  1  1  0  0  1  -492.0       1     0.0
45   0  0  0  0  0  0  0  1  0  0  1  1  1  0  1  0  0  1  0  1  0  0  1  1  1  0  0  1  1  1  1  0  0  0  0  0  1  0  1  1  1  0  0  1  1  0  1  1  1  1  -492.0       1     0.0
184  1  1  0  1  0  1  0  1  1  1  1  0  1  0  0  0  1  1  1  0  1  0  0  1  0  0  0  0  0  1  0  1  1  0  0  0  1  0  0  0  1  0  1  1  1  0  0  1  1  0  -492.0       1    0.02
312  0  1  1  0  1  1  0  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  0  1  1  1  1  0  1  0  1  0  1  0  1  0  0  1  1  0  1  1  0  0  1  1  1  -492.0       1    0.04
465  0  0  1  0  0  1  1  0  1  1  0  0  0  0  0  0  1  1  1  0  0  0  0  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  0  0  1  1  1  1  -492.0       1    0.08
46   0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  1  0  1  1  1  0  1  0  0  1  1  0  0  1  1  1  1  1  0  0  1  1  0 -491.25       1     0.0
47   0  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  1  1  0  0  0  0  1  1  0  0  0  1  1  1  1  0  1  0  0  1  0  1  0  0  1  0  1  1  1  1  0  1  0 -491.25       1     0.0
48   0  0  1  0  0  0  0  1  1  0  0  0  0  0  0  1  1  1  1  1  0  1  1  0  1  0  0  0  1  1  0  1  0  1  1  0  1  0  0  0  1  0  1  1  1  0  1  1  1  1 -491.25       1     0.0
49   1  1  0  1  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  1  1  0  1  0  1  1  0  0  0  1  0  0  1  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  1  1 -491.25       1     0.0
50   0  1  0  1  1  1  0  1  0  0  1  1  0  1  0  0  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  1  1  0  1  1  0  0  0  0  0  0  1  0  0  1  0  1  -491.0       1     0.0
51   1  0  1  0  1  0  1  1  0  1  1  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  0  1  0  1  0  0  0  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  0  0  -491.0       1     0.0
215  0  1  1  0  1  0  1  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  0  1  0  1  0  0  1  1  1  0  0  1  0  0  1  1  0  1  1  1  1  1  1  1  0  -491.0       1    0.02
225  1  1  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  0  0  0  0  0  1  0  0  0  1  1  0  1  0  1  1  1  1  0  0  0  1  1  1  1  1  1  0  1  1  0  -491.0       1    0.02
244  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  1  1  1  1  1  1  0  0  1  1  1  1  1  0  1  1  1  1  0  -491.0       1    0.02
52   0  1  1  1  1  0  0  0  1  1  0  0  0  0  1  1  1  1  0  1  1  0  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  0  1  0  1  1  0  0  1  0  1  1  0 -490.25       1     0.0
53   1  0  0  0  1  0  1  1  0  1  0  1  1  0  1  0  0  1  0  0  0  0  0  1  1  0  0  1  1  1  0  1  0  1  0  0  1  0  1  1  1  1  0  1  0  1  0  1  1  0 -490.25       1     0.0
54   1  0  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  0  1  0  0  1  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  0  1  0  0  1  1  1  1  1  0  1  1 -490.25       1     0.0
55   0  1  1  0  0  0  0  1  1  1  0  1  0  0  1  1  1  1  0  1  0  0  1  0  1  1  1  0  1  0  0  0  0  1  0  1  1  0  0  1  1  0  1  0  0  0  1  0  1  1 -490.25       1     0.0
56   0  1  0  1  0  1  0  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  0  1  1  0  1  0  1  1  1  1  0  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  1  0 -490.25       1     0.0
57   1  0  1  0  0  0  0  0  0  1  1  1  0  0  1  1  0  0  1  0  1  0  1  0  0  1  0  1  0  0  1  1  0  1  0  0  0  0  0  1  1  1  1  0  1  0  1  1  1  0 -490.25       1     0.0
58   1  1  0  0  0  0  1  1  0  0  0  1  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  0  1  1  0  1  0  0  0  1  0  1  1  0  1  1  1  1  1  0 -490.25       1     0.0
59   1  0  0  0  0  1  1  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0  0  1  0  1  1  1  1  1  1  0  1  0  0  0  1  0  1  1  0  1  0  1  0  0  -490.0       1     0.0
60   0  1  1  0  0  0  1  1  0  1  1  1  0  0  1  0  1  0  0  1  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  0  1  1  0  -490.0       1     0.0
190  0  1  0  1  0  0  0  0  1  1  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  0  0  1  1  1  -490.0       1    0.02
191  0  0  1  0  0  1  1  0  1  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  1  0  1  0  0  0  1  1  1  1  1  1  1  0  0  0  1  0  1  1  1  0  1  1  1  0  -490.0       1    0.02
196  1  1  1  1  1  0  0  1  0  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1  1  0  1  1  0  1  1  0  0  0  0  -490.0       1    0.02
204  1  1  1  1  0  1  1  1  0  1  1  1  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  1  0  1  1  1  0  1  0  0  1  0  1  1  0  1  0  1  1  1  0  0  1  0  -490.0       1    0.02
245  0  1  0  0  0  1  1  0  0  0  1  1  1  1  1  0  1  1  0  0  0  0  1  1  1  0  0  1  0  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  1  0  -490.0       1    0.02
409  0  1  0  1  0  1  0  1  0  0  1  1  1  0  1  1  1  1  0  0  0  1  1  0  0  1  0  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  0  1  1  1  0  0  1  0  -490.0       1    0.06
61   0  0  0  0  0  0  0  0  1  1  1  1  0  0  1  1  0  0  1  0  0  0  1  0  1  0  0  0  1  1  0  1  0  1  1  0  1  0  1  1  1  1  0  1  1  1  0  0  0  1 -489.25       1     0.0
62   0  1  1  1  0  1  1  0  1  0  1  0  1  0  1  0  1  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  1  0  1  1  0  0  0  1  1  1  1  1  0  1  0  1  0 -489.25       1     0.0
63   0  1  1  0  0  1  0  0  1  0  1  0  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  1  1  1 -489.25       1     0.0
64   1  1  0  0  0  1  1  1  0  1  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  1  0  0  0  1  0  1  1  0  0  1  1  0  1  0 -489.25       1     0.0
194  1  0  0  0  0  0  1  1  0  1  1  1  1  1  1  0  0  0  0  0  0  1  1  0  0  1  0  1  0  1  1  0  0  1  0  1  0  0  1  1  0  1  0  1  1  1  1  0  1  0 -489.25       1    0.02
65   0  1  1  0  1  0  1  0  0  1  1  1  0  0  1  0  0  1  0  1  0  0  1  0  1  1  1  0  0  1  1  1  1  1  0  1  0  0  0  1  0  0  1  0  0  1  0  1  1  1  -489.0       1     0.0
66   1  1  0  1  1  0  1  1  0  0  1  1  0  0  1  1  0  1  0  1  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  1  1  0  1  -489.0       1     0.0
349  1  0  0  1  1  0  0  1  0  0  1  1  0  0  1  1  0  1  1  0  1  0  1  1  0  0  0  1  0  1  0  1  0  0  0  0  0  0  1  1  0  0  0  1  1  1  1  1  0  1  -489.0       1    0.04
68   0  0  1  0  0  1  0  0  1  0  1  1  0  0  1  0  0  0  1  1  1  0  1  0  1  0  0  1  0  1  1  1  0  0  1  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1 -488.25       1     0.0
69   0  1  1  0  1  1  0  0  1  0  0  1  0  0  1  0  0  0  1  0  0  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  0  1  0  1  1  1  1  1  1  1  0 -488.25       1     0.0
70   1  1  0  0  1  0  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  1  1  1  0  0  1  1  1 -488.25       1     0.0
71   0  1  1  1  0  1  0  0  1  1  0  0  0  0  1  0  1  0  1  1  1  0  1  0  1  0  0  0  1  1  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  1  1 -488.25       1     0.0
72   1  0  1  1  0  0  0  1  0  0  0  1  0  0  0  1  0  1  1  0  0  1  1  1  0  1  0  1  0  1  0  0  0  1  0  1  0  0  1  1  0  1  0  1  0  1  1  1  0  0 -488.25       1     0.0
73   1  0  1  0  1  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  0  0  1  1  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  1  0  1  0 -488.25       1     0.0
74   0  1  1  0  0  0  0  0  1  1  0  0  0  0  1  0  1  0  1  1  0  0  0  0  1  1  1  0  0  0  1  1  1  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  1 -488.25       1     0.0
186  0  1  1  0  1  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  0  0  1  0  1  0  1  1  1  1  0  0  0  0  1  0  1  0  0  0  1  0  1  1  1  0  0  1  1  1 -488.25       1    0.02
254  0  1  1  0  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  0  0  0  0  0  1  0  1  0  1  0  0  1  0  1  0  1  1  1  0  1  1  0  0  1  1  1  0  1  1  0 -488.25       1    0.02
