--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
81   1  0  0  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  1  0  0  1  0  0  1  1  1  1  1  1  0  1  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  1  1  0  1  -965.0       1 0.083333
106  0  1  1  1  0  1  1  0  1  1  1  1  1  0  0  1  0  1  0  1  1  0  1  1  0  0  0  1  0  0  0  0  0  1  0  1  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0  -965.0       1 0.083333
121  0  1  0  1  0  1  1  0  1  1  1  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  0  1  0  0  1  0  0  1  0  1  0  1  0  1  0  0  0  0  1  1  0  0  1  1  1  1  1  0  1  0  1  1  1  0  -965.0       1 0.116667
2    1  1  0  1  1  1  0  1  1  0  1  1  1  1  0  0  1  0  0  0  1  1  0  1  1  0  0  1  0  0  0  1  1  0  0  1  1  0  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  0  0  0  1  1  1 -964.75       1      0.0
110  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  0  0  0  0  1  0  1  1  0  0  1  0  0  0  0  0  0  1  1  1  0  1  0  1  0  0  0  1  1  1  0  0  1  1  1  0  0  1  1  0  1  1  1  0 -964.75       1      0.1
122  0  1  1  1  0  1  1  0  1  1  0  1  1  0  0  1  0  1  0  0  1  0  1  1  1  0  0  0  0  0  0  0  0  1  1  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  1  0  0  1  0  1  0  1  0 -964.75       1 0.116667
235  0  1  0  1  0  0  0  0  1  1  1  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  1  0  0  0  1  0  0  1  1  1  0  0  0  1  1  0  0  1  1  1  0  0  1  1  1  0  0  0  1  0  1  1  1  1 -964.75       1     0.15
147  1  0  0  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  1  0  1  1  1  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  1  -964.0       1      0.1
249  0  1  1  1  0  1  1  0  1  1  1  1  0  0  0  1  0  0  0  1  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  1  0  0  1  0  1  0  1  1  -964.0       1     0.15
262  0  1  1  0  0  1  1  0  1  1  1  1  1  0  0  1  0  0  0  0  1  0  1  0  1  0  0  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  1  0  0  1  0  1  0  1  0  -964.0       1     0.15
