--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
204  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0  -192.0       1 0.033333
233  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0  -192.0       1 0.033333
288  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0  -192.0       1 0.033333
29   0  0  1  0  0  0  1  1  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  0  1  0  0  0  0  0 -191.25       1      0.0
30   0  0  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  1  0  0  0  0  0 -191.25       1      0.0
31   0  0  1  1  0  1  1  1  1  1  1  1  0  1  0  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0 -191.25       1      0.0
32   0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -191.25       2      0.0
33   0  1  1  0  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -191.25       1      0.0
263  0  1  1  0  0  1  1  1  1  1  1  0  1  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -191.25       1 0.033333
34   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -191.0       8      0.0
35   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -191.0       1      0.0
36   0  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  -191.0       1      0.0
37   0  1  1  1  0  0  1  1  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -191.0       1      0.0
38   0  1  0  0  0  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0  -191.0       1      0.0
39   0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0  -191.0       1      0.0
300  0  1  1  0  0  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -191.0       1 0.033333
315  0  1  1  1  0  0  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -191.0       1 0.033333
419  0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -191.0       1      0.1
40   0  1  0  1  0  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  0  0  1  0  1  0  1  0  1  0 -190.25       1      0.0
41   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -190.25       1      0.0
42   1  0  0  0  0  1  1  0  1  1  1  0  1  1  0  0  0  1  1  0  1  0  1  0  1  0  1  0  1  0 -190.25       1      0.0
43   0  1  0  1  1  1  1  0  0  0  0  1  0  0  0  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0 -190.25       1      0.0
44   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -190.25       2      0.0
45   0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0 -190.25       1      0.0
46   0  1  1  0  0  1  1  1  1  0  1  1  1  1  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0 -190.25       2      0.0
192  0  1  1  1  0  1  1  1  1  1  1  0  0  0  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -190.25       1 0.033333
236  0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -190.25       1 0.033333
289  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -190.25       1 0.033333
426  0  1  1  0  0  1  1  1  1  0  1  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -190.25       1 0.033333
47   0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
