0.0 0.0 0.0 0.0 0.0
0.05263157894736842 0.0 0.0 0.0 0.0
0.10526315789473684 0.0 0.0 0.0 0.0
0.15789473684210525 0.238 0.01904499934365974 4.0 [0, 0, 1, 1]
0.21052631578947367 0.992 0.003983967871356396 4.0 [0, 0, 1, 1]
0.2631578947368421 0.998 0.001997998998998749 4.0 [0, 0, 1, 1]
0.3157894736842105 1.0 0.0 4.0 [0, 0, 1, 1]
0.3684210526315789 0.996 0.002822764602300377 4.0 [0, 0, 1, 1]
0.42105263157894735 1.0 0.0 4.0 [0, 0, 1, 1]
0.47368421052631576 0.994 0.0034536936748935927 4.0 [0, 0, 1, 1]
0.5263157894736842 0.992 0.003983967871356396 4.0 [0, 0, 1, 1]
0.5789473684210527 0.998 0.001997998998998749 4.0 [0, 0, 1, 1]
0.631578947368421 0.984 0.00561141693336006 4.0 [0, 0, 1, 1]
0.6842105263157894 0.998 0.001997998998998749 4.0 [0, 0, 1, 1]
0.7368421052631579 0.992 0.003983967871356396 4.0 [0, 0, 1, 1]
0.7894736842105263 0.972 0.0073778045514909145 4.0 [0, 0, 1, 1]
0.8421052631578947 0.984 0.00561141693336006 4.0 [0, 0, 1, 1]
0.894736842105263 0.974 0.007116740827092135 4.0 [0, 0, 1, 1]
0.9473684210526315 0.972 0.0073778045514909145 4.0 [0, 0, 1, 1]
1.0 0.946 0.010107818755794947 4.0 [0, 0, 1, 1]
