0.0 0.074 0.011706750189527408 3.0 [0, 1, 0, 0, 1, 1]
0.05263157894736842 0.26 0.019616319736382767 5.0 [1, 0, 1, 0, 1, 0]
0.10526315789473684 0.588 0.02201163328787757 3.0 [1, 0, 1, 1, 0, 0]
0.15789473684210525 0.826 0.016954291492126707 3.0 [1, 0, 1, 1, 0, 0]
0.21052631578947367 0.798 0.01795527777562909 3.0 [1, 0, 1, 1, 0, 0]
0.2631578947368421 0.724 0.01999119806314769 3.0 [1, 0, 1, 1, 0, 0]
0.3157894736842105 0.682 0.020826713614970557 3.0 [0, 1, 0, 0, 1, 1]
0.3684210526315789 0.622 0.02168483340955148 3.0 [0, 1, 0, 0, 1, 1]
0.42105263157894735 0.62 0.021707141681944216 3.0 [1, 0, 1, 1, 0, 0]
0.47368421052631576 0.548 0.02225740326273485 3.0 [0, 1, 0, 0, 1, 1]
0.5263157894736842 0.634 0.021542701780417423 3.0 [1, 0, 1, 1, 0, 0]
0.5789473684210527 0.688 0.020719845559269985 3.0 [1, 0, 1, 1, 0, 0]
0.631578947368421 0.392 0.021832819332372078 3.0 [0, 1, 0, 0, 1, 1]
0.6842105263157894 0.47 0.022320394261750844 3.0 [0, 1, 0, 0, 1, 1]
0.7368421052631579 0.42 0.02207260745811423 3.0 [1, 0, 1, 1, 0, 0]
0.7894736842105263 0.4 0.021908902300206645 3.0 [0, 1, 0, 0, 1, 1]
0.8421052631578947 0.366 0.021542701780417423 3.0 [1, 0, 1, 1, 0, 0]
0.894736842105263 0.376 0.021662132858977667 3.0 [1, 0, 1, 1, 0, 0]
0.9473684210526315 0.326 0.020963015050321363 3.0 [0, 1, 0, 0, 1, 1]
1.0 0.346 0.021273645667821018 3.0 [1, 0, 1, 1, 0, 0]
