0.0 0.336 0.02112363605064242 4.0 [0, 0, 1, 1, 1, 0, 0, 1]
0.05263157894736842 0.0 0.0 0.0 0.0
0.10526315789473684 0.112 0.014103616557464968 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.15789473684210525 0.936 0.01094568408095172 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.21052631578947367 0.93 0.011410521460476728 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.2631578947368421 0.906 0.013050976974924135 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.3157894736842105 0.796 0.018021320706318945 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.3684210526315789 0.806 0.017684117167673367 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.42105263157894735 0.702 0.020454632727086548 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.47368421052631576 0.6 0.021908902300206645 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.5263157894736842 0.568 0.022152923057691506 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.5789473684210527 0.504 0.022359964221796064 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.631578947368421 0.372 0.021615549958305478 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.6842105263157894 0.384 0.02175058619899703 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.7368421052631579 0.354 0.021386163751360363 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.7894736842105263 0.256 0.01951737687293044 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.8421052631578947 0.292 0.0203340109176719 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.894736842105263 0.288 0.020251222185339826 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.9473684210526315 0.15 0.015968719422671314 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
1.0 0.206 0.01808668018183547 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
