0.0 0.476 0.02233490541730589 6.0 [0, 1, 0, 1, 0, 1, 0, 1]
0.05263157894736842 0.002 0.0019979989989987483 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.10526315789473684 0.0 0.0 0.0 0.0
0.15789473684210525 0.92 0.012132600710482479 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.21052631578947367 0.98 0.006260990336999414 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.2631578947368421 0.858 0.01560999679692472 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.3157894736842105 0.848 0.01605590234150669 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.3684210526315789 0.844 0.01622738426241272 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.42105263157894735 0.76 0.019099738218101316 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.47368421052631576 0.684 0.020791536739741004 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.5263157894736842 0.576 0.022100859711784968 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.5789473684210527 0.438 0.02218810492133116 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.631578947368421 0.394 0.021852414054287 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.6842105263157894 0.35 0.02133072900770154 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.7368421052631579 0.368 0.021567382780485908 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.7894736842105263 0.266 0.019760769215797242 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.8421052631578947 0.242 0.019153902996517445 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
0.894736842105263 0.228 0.018762515822778138 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
0.9473684210526315 0.244 0.019207498535728174 1.0 [1, 1, 1, 1, 0, 0, 0, 0]
1.0 0.198 0.01782111107647332 1.0 [0, 0, 0, 0, 1, 1, 1, 1]
