0.0 0.0 0.0 0.0 0.0
0.02564102564102564 0.0 0.0 0.0 0.0
0.05128205128205128 0.0 0.0 0.0 0.0
0.07692307692307693 0.0 0.0 0.0 0.0
0.10256410256410256 0.002 0.0019979989989987483 4.0 [1, 1, 0, 0]
0.1282051282051282 0.0 0.0 0.0 0.0
0.15384615384615385 0.138 0.01542439626046997 4.0 [1, 0, 0, 1]
0.1794871794871795 0.942 0.010453324829928518 4.0 [1, 0, 0, 1]
0.20512820512820512 1.0 0.0 4.0 [1, 0, 0, 1]
0.23076923076923075 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.2564102564102564 1.0 0.0 4.0 [1, 0, 0, 1]
0.28205128205128205 1.0 0.0 4.0 [1, 0, 0, 1]
0.3076923076923077 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.3333333333333333 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.358974358974359 1.0 0.0 4.0 [1, 0, 0, 1]
0.3846153846153846 0.994 0.0034536936748935927 4.0 [1, 0, 0, 1]
0.41025641025641024 1.0 0.0 4.0 [1, 0, 0, 1]
0.4358974358974359 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.4615384615384615 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.48717948717948717 1.0 0.0 4.0 [1, 0, 0, 1]
0.5128205128205128 1.0 0.0 4.0 [1, 0, 0, 1]
0.5384615384615384 0.998 0.001997998998998749 4.0 [1, 0, 0, 1]
0.5641025641025641 0.99 0.0044497190922574 4.0 [1, 0, 0, 1]
0.5897435897435898 0.994 0.0034536936748935927 4.0 [1, 0, 0, 1]
0.6153846153846154 0.994 0.0034536936748935927 4.0 [1, 0, 0, 1]
0.641025641025641 0.994 0.0034536936748935927 4.0 [1, 0, 0, 1]
0.6666666666666666 0.992 0.003983967871356396 4.0 [1, 0, 0, 1]
0.6923076923076923 0.97 0.007628892449104264 4.0 [1, 0, 0, 1]
0.717948717948718 0.984 0.00561141693336006 4.0 [1, 0, 0, 1]
0.7435897435897436 0.986 0.0052543315464481325 4.0 [1, 0, 0, 1]
0.7692307692307692 0.988 0.004869496893930627 4.0 [1, 0, 0, 1]
0.7948717948717948 0.98 0.006260990336999414 4.0 [1, 0, 0, 1]
0.8205128205128205 0.986 0.0052543315464481325 4.0 [1, 0, 0, 1]
0.8461538461538461 0.986 0.0052543315464481325 4.0 [1, 0, 0, 1]
0.8717948717948718 0.98 0.006260990336999414 4.0 [1, 0, 0, 1]
0.8974358974358974 0.976 0.006844559883586383 4.0 [1, 0, 0, 1]
0.923076923076923 0.982 0.005945754788082 4.0 [1, 0, 0, 1]
0.9487179487179487 0.964 0.008331146379700699 4.0 [1, 0, 0, 1]
0.9743589743589743 0.972 0.0073778045514909145 4.0 [1, 0, 0, 1]
1.0 0.962 0.008550555537507495 4.0 [1, 0, 0, 1]
