0.0 0.102 0.013534843922262273 5.0 [1, 0, 0, 1, 0, 1]
0.05263157894736842 0.006 0.0034536936748935914 5.0 [1, 0, 1, 0, 1, 0]
0.10526315789473684 0.902 0.013296315279053816 3.0 [0, 1, 0, 0, 1, 1]
0.15789473684210525 0.844 0.01622738426241272 3.0 [1, 0, 1, 1, 0, 0]
0.21052631578947367 0.766 0.01893377933746984 3.0 [0, 1, 0, 0, 1, 1]
0.2631578947368421 0.772 0.018762515822778138 3.0 [0, 1, 0, 0, 1, 1]
0.3157894736842105 0.694 0.020608930103234373 3.0 [1, 0, 1, 1, 0, 0]
0.3684210526315789 0.698 0.02053270561811083 3.0 [1, 0, 1, 1, 0, 0]
0.42105263157894735 0.65 0.02133072900770154 3.0 [1, 0, 1, 1, 0, 0]
0.47368421052631576 0.606 0.021852414054287 3.0 [1, 0, 1, 1, 0, 0]
0.5263157894736842 0.54 0.022289010745208053 3.0 [1, 0, 1, 1, 0, 0]
0.5789473684210527 0.534 0.022308921982023246 3.0 [1, 0, 1, 1, 0, 0]
0.631578947368421 0.494 0.02235906974809104 3.0 [1, 0, 1, 1, 0, 0]
0.6842105263157894 0.546 0.02226584828835407 3.0 [1, 0, 1, 1, 0, 0]
0.7368421052631579 0.418 0.02205792374635473 3.0 [0, 1, 0, 0, 1, 1]
0.7894736842105263 0.418 0.02205792374635473 3.0 [0, 1, 0, 0, 1, 1]
0.8421052631578947 0.404 0.021944657664224338 3.0 [0, 1, 0, 0, 1, 1]
0.894736842105263 0.378 0.02168483340955148 3.0 [1, 0, 1, 1, 0, 0]
0.9473684210526315 0.352 0.02135865164283551 3.0 [1, 0, 1, 1, 0, 0]
1.0 0.342 0.021214900423994452 3.0 [0, 1, 0, 0, 1, 1]
