1.0 0.856 0.015701210144444283 3.0 [0, 1, 0, 0, 1, 1]
79.89473684210526 0.82 0.017181385275931625 3.0 [0, 1, 0, 0, 1, 1]
158.78947368421052 0.876 0.014739335127474372 3.0 [1, 0, 1, 1, 0, 0]
237.68421052631578 0.868 0.01513776733867977 3.0 [0, 1, 0, 0, 1, 1]
316.57894736842104 0.83 0.016798809481626965 3.0 [1, 0, 1, 1, 0, 0]
395.4736842105263 0.834 0.016639951923007473 3.0 [1, 0, 1, 1, 0, 0]
474.36842105263156 0.838 0.016477621187537962 3.0 [0, 1, 0, 0, 1, 1]
553.2631578947369 0.894 0.013766916866168691 3.0 [0, 1, 0, 0, 1, 1]
632.1578947368421 0.844 0.01622738426241272 3.0 [0, 1, 0, 0, 1, 1]
711.0526315789473 0.826 0.016954291492126707 3.0 [1, 0, 1, 1, 0, 0]
789.9473684210526 0.902 0.013296315279053816 3.0 [1, 0, 1, 1, 0, 0]
868.8421052631579 0.902 0.013296315279053816 3.0 [1, 0, 1, 1, 0, 0]
947.7368421052631 0.85 0.015968719422671314 3.0 [1, 0, 1, 1, 0, 0]
1026.6315789473683 0.864 0.01532997064576446 3.0 [0, 1, 0, 0, 1, 1]
1105.5263157894738 0.82 0.017181385275931625 3.0 [1, 0, 1, 1, 0, 0]
1184.421052631579 0.836 0.0165592270351004 3.0 [0, 1, 0, 0, 1, 1]
1263.3157894736842 0.88 0.014532721699667961 3.0 [0, 1, 0, 0, 1, 1]
1342.2105263157894 0.912 0.012669333052690657 3.0 [1, 0, 1, 1, 0, 0]
1421.1052631578946 0.908 0.012925633446759966 3.0 [0, 1, 0, 0, 1, 1]
1500.0 0.896 0.013651666564928987 3.0 [1, 0, 1, 1, 0, 0]
