--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
63   1  0  0  1  0  0  0  0  1  1  0  1  0  1  1  1  0  0  0  1  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  1  0  0  1  0  1  0  1  0  1  1  1  0  1  1 -311.25       1    0.02
0    1  0  1  0  0  1  0  0  1  1  0  0  0  1  0  1  1  1  0  1  0  0  1  1  0  0  0  0  0  1  0  1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  0  0  1  1  -311.0       1     0.0
1    0  1  0  1  0  1  1  0  0  0  1  1  1  0  0  1  1  1  1  0  0  0  1  1  0  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1  0  0  -310.0       1     0.0
2    0  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  1  1  1  0  0  1  1  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  1  1  0  0  -309.0       1     0.0
3    1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  1  1  1  0  0  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  1  1  0  1  1  1  -309.0       1     0.0
64   1  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  0  1  1  1  0  0  1  1  0  1  0  0  1  0  0  1  1  0  0  0  0  0  0  0  1  0  1  0  1  0  1  1  1  1  -309.0       1    0.02
4    1  0  0  0  0  0  0  1  0  0  1  1  1  0  0  1  1  1  1  1  1  0  1  1  0  1  0  0  1  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  1  1  1  0 -308.25       1     0.0
118  1  1  0  1  0  0  0  1  0  0  1  1  1  1  1  1  0  0  0  1  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  1  0  1  1  1  1  1  1  1  1 -308.25       1    0.02
129  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  0  0  0  1  0  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  1  1  1 -308.25       1    0.02
5    1  0  0  1  1  0  0  0  0  0  1  0  0  1  1  1  0  0  0  1  0  1  0  0  0  1  0  0  1  0  0  1  1  0  0  1  1  0  1  0  1  1  0  1  1  1  1  0  1  1  -308.0       1     0.0
310  0  0  1  0  1  1  0  1  1  0  0  1  1  0  0  1  1  1  0  0  1  0  1  0  0  0  1  0  0  0  0  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  0  1  0  1  -308.0       1    0.04
6    1  1  1  0  0  1  0  0  0  1  0  0  0  1  1  1  0  1  0  1  0  0  0  1  0  0  0  0  0  1  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  1  0  0  1  1 -307.25       1     0.0
7    0  0  0  1  0  1  1  1  0  0  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1  0  0  0  0  1  1  0  0  0  1  0  1  0  0  1  1  1  1  1 -307.25       1     0.0
8    1  0  1  0  1  0  0  1  1  0  0  1  0  1  1  1  1  1  1  1  0  1  0  0  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  0  0  0  0  1  1  1  1  0  1  1  -307.0       1     0.0
9    0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  1  1  1  1  0  1  1  0  0  0  0  1  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  -307.0       1     0.0
10   1  0  0  1  0  1  0  1  0  1  0  1  0  0  1  1  0  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  0  1  1  1  1  1  1  -307.0       1     0.0
128  1  0  0  1  1  0  0  1  0  0  1  1  1  0  1  1  0  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  1  1  -307.0       1    0.02
11   1  0  0  0  0  1  0  1  0  0  1  0  1  1  1  1  0  1  0  1  1  0  0  1  0  1  0  0  1  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1 -306.25       1     0.0
12   0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  1  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  1  0  0  1  1  1  1  0 -306.25       1     0.0
13   1  0  1  0  0  0  0  1  0  0  1  1  1  0  1  1  0  1  1  1  0  0  1  1  0  0  0  0  1  0  0  1  1  0  0  0  0  0  1  0  0  0  1  1  1  1  0  0  1  1 -306.25       1     0.0
14   1  1  1  1  0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  1  0  0  1  1  1  0  0  0  1  0  0  1  0  0  1  0  0  0  1  0  1  1  1  0  1  0  0  0  1  1  -306.0       1     0.0
15   1  0  0  1  0  0  0  0  0  1  0  1  1  0  0  1  0  0  0  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0  1  1  1  0  1  1  1  0  0  0  1  1  1  1  1  0  -306.0       1     0.0
16   1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  1  0  1  0  1  0  0  1  1  0  1  0  0  1  0  1  0  1  0  0  1  0  0  0  0  1  1  1  0  1  1  1  0  1  1  -306.0       1     0.0
17   1  0  0  1  0  1  0  0  0  1  0  0  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0  1  0  1  0  1  1  0  1  1  1  1  1  1  1  0  -306.0       1     0.0
18   0  0  0  1  0  0  1  1  0  1  1  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  1  0  0  -306.0       1     0.0
130  1  1  0  1  0  1  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0  0  1  1  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  1  0  1  0  1  1  0  1  1  1  -306.0       1    0.02
267  1  0  1  0  0  1  0  1  1  0  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  0  1  0  0  0  0  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  -306.0       1    0.04
298  0  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  1  1  1  1  0  0  1  0  -306.0       1    0.04
401  1  0  0  0  0  0  0  1  0  0  1  0  1  1  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  1  0  1  1  -306.0       1    0.06
19   1  0  1  0  1  1  0  0  1  0  0  0  1  1  0  1  0  1  0  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  1  0  0  1  0  1 -305.25       1     0.0
20   1  1  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  0  0  1  0  0  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  0  0  1  0  1  0  1  1  0  1  1  1 -305.25       1     0.0
