--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
32   0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -247.25       1      0.0
33   0  1  0  1  0  1  0  1  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  0  1  0  1 -247.25       1      0.0
34   0  1  0  1  1  0  0  0  0  1  1  0  1  0  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -247.25       1      0.0
138  0  1  0  0  1  1  0  1  0  0  1  0  1  0  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -247.25       1 0.033333
224  0  1  0  0  1  1  1  0  1  0  0  0  1  1  1  0  0  1  0  1  1  1  0  1  1  0  0  0  1  0 -247.25       1 0.033333
288  0  1  1  0  1  0  0  0  0  1  1  0  1  0  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -247.25       1 0.033333
319  0  1  0  0  1  1  0  1  0  0  0  1  1  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1 -247.25       1 0.033333
363  0  1  1  1  1  1  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0 -247.25       1 0.066667
393  0  1  1  0  0  1  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  1  1  1  0 -247.25       1 0.066667
483  0  1  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  0  0  0  1  0  0  1  1  0 -247.25       1      0.1
35   0  1  0  0  0  1  0  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  0  1  0  1  0  1  1  0  -247.0       1      0.0
36   0  1  1  1  0  1  0  0  1  0  0  0  0  1  0  1  0  0  0  1  1  0  0  1  1  0  1  1  0  1  -247.0       1      0.0
37   0  1  0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  1  0  -247.0       1      0.0
38   0  1  0  0  0  0  0  1  1  0  0  1  0  1  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  -247.0       1      0.0
137  0  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0  -247.0       1 0.033333
252  0  1  1  1  0  1  0  1  1  0  0  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0  -247.0       1 0.033333
253  0  1  0  1  1  1  0  0  1  0  0  0  1  1  0  1  0  0  0  1  1  1  0  1  1  0  0  0  1  0  -247.0       1 0.033333
