--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
249  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  0  0  1  1  1  0  0  0  0  1  0  1  0  1  1  1  1  0  0  1  0  1  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0 -692.75       1 0.083333
44   0  1  0  1  0  1  0  1  1  1  1  1  1  0  0  0  1  1  0  1  0  1  1  0  0  1  0  1  0  0  0  1  1  1  1  1  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  -692.0       1 0.016667
127  0  1  1  1  1  1  1  0  0  0  1  1  1  1  1  0  0  1  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  1  1  1  0  0  0  1  1  0  0  0  0  1  1  0  0  0  1  0  0  0  0  0  1  0  1  0  -692.0       1     0.05
156  1  1  0  1  1  1  0  0  0  1  1  0  1  1  1  0  0  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  0  0  1  0  0  -692.0       1 0.066667
103  1  1  0  1  1  1  0  0  0  1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  1  0  0  1  1  0  1  1  0  0  1  1  1  1  0  1  1  0  0  0  0  1  1  0  0  1  0  0  0  0  0  1  1  0  1  0 -691.75       1 0.033333
7    0  0  0  1  0  0  1  1  0  0  0  0  0  0  1  1  1  1  1  1  1  0  0  1  1  0  1  1  1  1  0  1  0  0  0  0  1  0  0  1  0  1  1  0  1  0  1  1  1  1  0  0  0  1  0  0  1  0  0  0  -691.0       1      0.0
211  0  1  0  1  0  1  1  1  0  0  1  0  1  0  1  0  0  0  1  0  0  1  1  0  1  1  0  1  1  0  1  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  1  0  0  0  0  1  0  0  0  1  1  0  0  1  -691.0       1 0.066667
8    0  1  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  0  1  0  1  1  1  1  0  0  0  1  1  0  1  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  0  1  0  0  1  0  0  1  0  1  1  0  0  0 -690.75       1      0.0
66   0  1  0  1  1  1  0  1  0  0  0  1  1  0  1  0  0  0  1  0  1  1  0  0  0  0  0  1  1  0  1  1  1  0  1  1  1  0  1  0  1  0  0  0  1  1  1  1  0  0  0  1  0  1  0  1  1  0  1  1 -690.75       1 0.016667
255  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  0  1  1  0  0  0  1  1  1  0  0  0  1  1  0  1  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  1 -690.75       1 0.066667
