--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
0    0  1  0  0  1  1  1  1  0  1  0  0  1  0  0  0  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  -206.0       1     0.0
1    1  0  1  0  1  1  1  1  1  1  1  1  0  0  0  0  0  1  1  1  0  1  0  1  1  0  0  0  0  1  1  0  0  0  1  1  0  1  0  0 -205.75       1     0.0
2    0  1  0  0  1  1  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  1  1  0  1  0  0  1  1  1  0  1  0  1  0  1  1  1  1  1 -204.75       1     0.0
3    1  0  0  0  1  1  1  1  1  1  0  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  0  0  0  1  0  1  0  0 -204.75       1     0.0
4    0  1  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1  1  1  1  1  1  1  0  1  0  1  1  1  -204.0       1     0.0
5    1  1  0  1  1  1  1  1  0  1  0  0  1  0  0  0  1  1  1  0  0  0  1  0  0  1  0  1  0  0  1  1  0  0  0  1  1  0  1  0  -204.0       1     0.0
6    1  0  1  1  1  1  1  1  1  1  0  1  0  0  1  0  1  1  1  1  0  0  0  1  1  0  0  0  0  1  1  0  0  0  1  1  0  0  0  0 -203.75       1     0.0
7    1  1  0  0  1  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  0  1  1  1  1  1  0  0  0  1  0  1  1  1 -203.75       1     0.0
8    0  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  1  0  1  0  1  0  1  1  1 -203.75       1     0.0
9    0  1  0  0  1  1  1  0  0  1  0  1  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  1  0  1  1  1  0  0  1  1  0  1  1  1 -203.75       1     0.0
10   1  1  0  0  1  1  1  0  0  1  0  0  1  0  0  1  1  0  1  1  0  0  0  1  1  0  0  0  1  1  1  1  0  0  0  0  0  1  1  0 -203.75       1     0.0
