--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
61   1  0  0  0  1  1  1  0  1  1  0  0  0  0  1  0  1  1  0  0  0  1  1  0  0  0  1  0  0  1  0  1  1  0  1  0  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  0  1  1  -986.0       1 0.016667
63   1  0  1  0  0  1  1  1  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  1  1  1  0  0  0  1  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  0  0  1  1  0  1  1  1  1 -981.75       1 0.016667
47   1  0  1  1  1  0  0  1  1  1  0  0  1  0  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  0  1  0  0  0  0  0  1  0  1  1  1  1  1  1  0  0  1  1  1  -981.0       1 0.016667
73   1  1  0  1  0  1  1  1  1  0  1  1  1  0  0  0  1  1  0  0  0  1  1  1  0  0  0  1  0  0  0  1  0  0  0  0  0  1  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  1  1  0  -980.0       1 0.016667
0    1  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  0  0  0  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  1  0  1  0  0  1  0  1  0  1  0  1  0  1  1  0  1  1 -978.75       1      0.0
62   0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  0  1  1  0  0  0  0  1  1  1  0  0  1  0  1  0  1  0  0  1 -978.75       1 0.016667
106  0  0  1  0  0  0  0  1  1  1  1  0  1  1  0  0  0  1  0  1  1  1  0  0  1  1  1  1  0  1  1  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  -978.0       1 0.033333
1    1  0  1  0  1  1  1  1  0  0  1  1  0  0  1  1  1  0  0  0  0  0  1  0  0  0  1  1  0  0  1  0  0  0  0  1  0  1  0  1  0  1  0  1  1  1  1  1  0  0  0  0  0  1  1  0  1  0  1  1 -977.75       1      0.0
2    0  0  1  1  1  1  1  0  1  0  0  0  1  0  0  1  1  1  0  1  0  1  1  1  0  0  1  1  1  1  1  1  0  0  0  1  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  0  1  0  0  0  0  1  -977.0       1      0.0
3    1  1  1  1  0  0  1  0  1  0  1  1  0  0  0  0  0  1  1  1  1  0  1  0  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  1  1  1  1  0  0  1  0  0  1  0  1  0  0  1  -977.0       1      0.0
78   1  0  1  1  0  1  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  1  0  -977.0       1 0.016667
252  0  1  1  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  1  1  0  0  0  1  1  0  1  1  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  1  -977.0       1 0.066667
4    1  1  1  1  0  0  1  0  1  1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  0  0  0  1  0  0  1  1  0  0  0  1  0  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  0 -976.75       1      0.0
66   0  0  1  1  1  0  1  0  0  0  0  0  1  0  0  1  0  0  1  1  1  1  1  1  1  0  1  1  0  0  1  0  0  1  0  0  0  0  1  0  1  0  1  0  0  0  1  1  1  0  1  1  0  1  1  0  1  0  0  1 -976.75       1 0.016667
80   1  0  1  1  0  1  1  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  0  0  0  0  1  0  0  0  1  1  1  0  0  1  1  1  1  1  0  1  1  1  0 -976.75       1 0.016667
71   0  0  1  1  1  0  1  0  1  0  0  1  1  1  0  0  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  1  0  0  1  1  0  1  0  0  0  0  0  1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  -976.0       1 0.016667
