--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
378  1  1  0  1  1  1  1  0  0  1  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  1  1  0  0  0 -124.25       1 0.033333
40   0  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  0  1  -124.0       1      0.0
41   1  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  0  0  -124.0       1      0.0
42   1  0  1  0  1  1  1  1  0  1  1  0  0  1  0  1  1  0  0  1  0  1  0  0  0  1  0  0  1  1  -124.0       1      0.0
43   0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  1  0  0  1  1  0  0  0  -124.0       1      0.0
44   0  1  0  1  1  0  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  0  1  0  0  1  1  1  0  0  -124.0       1      0.0
45   1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  1  1  0  1  1  1  0  0  -124.0       1      0.0
46   0  1  0  1  0  1  0  0  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  0  1  -124.0       1      0.0
47   0  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  -124.0       1      0.0
48   0  0  1  0  0  0  1  1  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  0  1  -124.0       1      0.0
49   1  0  1  0  1  1  0  1  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  0  1  1  0  0  1  -124.0       1      0.0
50   1  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  1  0  0  0  1  1  0  0  0  1  0  1  0  1  -124.0       1      0.0
51   0  0  1  0  0  1  0  1  1  1  1  0  0  1  0  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  -124.0       1      0.0
52   0  1  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  0  1  1  1  0  1  -124.0       1      0.0
53   0  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  0  1  1  -124.0       1      0.0
54   0  0  1  0  1  1  0  1  1  1  1  1  0  1  1  1  0  0  0  1  1  1  0  0  0  1  0  0  0  1  -124.0       1      0.0
55   0  1  0  1  0  1  0  0  1  0  0  1  1  0  1  1  0  1  1  1  0  0  1  1  0  0  1  1  0  0 -123.25       1      0.0
56   1  0  1  0  1  1  1  1  1  0  1  0  0  0  0  1  1  0  0  1  0  1  0  0  0  1  0  0  1  1 -123.25       1      0.0
57   1  1  0  1  0  0  1  0  0  1  1  1  1  0  1  0  0  1  1  0  0  0  1  0  1  1  0  1  0  0 -123.25       1      0.0
58   0  1  0  0  1  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  0  1  1  0  0  1  1  1  0  0 -123.25       1      0.0
59   0  0  1  0  1  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  1  1  0  0  1 -123.25       1      0.0
60   1  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1 -123.25       1      0.0
61   1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0 -123.25       1      0.0
62   0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  1  0  1  1  0  1  0  0  1  1  0  0  1  1  0 -123.25       1      0.0
63   0  1  1  0  1  1  0  1  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  1  0  1  1  1  0  1 -123.25       1      0.0
64   0  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  0  0  0  0  1  0  0  0  1  1  0  0  1 -123.25       1      0.0
65   0  0  1  0  1  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  0  1  1  0  0  0  1  0  0  1 -123.25       1      0.0
66   0  1  1  0  0  1  0  1  1  1  1  0  0  1  0  1  0  0  0  1  1  1  0  0  1  1  1  0  0  0 -123.25       1      0.0
444  0  1  1  0  1  1  1  1  0  0  1  0  0  0  1  1  0  0  0  0  1  1  0  0  0  1  1  1  0  1 -123.25       1 0.033333
67   0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  0  -123.0       1      0.0
68   1  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  0  0  0  1  1  1  0  1  -123.0       1      0.0
69   1  1  0  1  1  0  0  1  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  0  0  -123.0       1      0.0
70   1  0  1  0  1  1  0  0  1  0  0  1  0  1  1  1  1  1  0  0  1  0  0  1  0  1  1  0  0  1  -123.0       1      0.0
71   0  1  0  1  1  0  1  1  0  1  0  1  1  1  1  0  1  1  1  0  0  0  0  0  1  1  1  0  0  0  -123.0       1      0.0
72   1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  1  1  1  0  0  1  0  0  1  0  0  0  1  1  1  -123.0       1      0.0
73   1  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  0  1  1  1  0  1  -123.0       1      0.0
74   0  1  0  1  1  0  1  0  0  1  1  0  1  0  1  0  0  0  1  1  0  0  1  0  0  1  1  1  0  0  -123.0       1      0.0
75   1  1  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  -123.0       1      0.0
76   1  0  1  0  0  1  1  1  1  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  0  1  0  0  0  1  -123.0       1      0.0
77   0  0  1  0  1  1  0  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  1  0  0  0  0  1  1  -123.0       1      0.0
78   1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  1  1  0  1  1  0  0  0  0  -123.0       1      0.0
79   0  0  1  0  0  1  0  0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  1  1  0  0  1  1  1  -123.0       1      0.0
80   0  1  1  0  0  1  0  1  1  0  1  0  0  0  1  1  0  0  0  0  1  1  1  1  0  1  1  1  0  1  -123.0       1      0.0
81   0  1  1  0  1  1  1  1  0  1  1  0  0  0  1  1  0  0  0  0  0  1  1  0  0  1  1  1  0  1  -123.0       1      0.0
82   1  0  0  1  0  1  0  0  1  0  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  1  1  1  0  0 -122.25       1      0.0
83   1  0  1  0  0  0  1  1  0  0  1  0  0  1  0  1  1  0  1  1  1  1  0  0  1  1  0  0  0  1 -122.25       1      0.0
84   0  1  0  1  1  0  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  0  0  0  0  1  1  1  0  0 -122.25       1      0.0
85   0  0  1  0  0  1  0  1  1  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  0  0  1  1  0  1 -122.25       1      0.0
86   0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  1  0  1  1  1  0  1 -122.25       1      0.0
87   0  0  1  0  0  1  0  1  0  1  0  1  0  1  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1 -122.25       1      0.0
88   1  0  1  0  1  0  1  1  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  0  0  1  1  0  0  1 -122.25       1      0.0
89   1  0  1  0  0  1  0  1  1  0  0  0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  1  1  0  1 -122.25       1      0.0
90   1  0  1  0  1  0  1  0  0  1  1  0  0  1  1  1  0  0  0  1  0  1  1  0  0  1  1  0  0  1 -122.25       1      0.0
91   0  0  1  0  0  1  1  1  0  0  1  0  0  1  1  0  0  0  0  1  1  1  0  0  0  1  1  0  0  1 -122.25       1      0.0
92   1  0  1  0  1  0  1  1  0  1  1  1  0  1  0  0  0  0  1  1  1  0  0  0  0  1  0  0  1  1 -122.25       1      0.0
93   0  0  1  1  1  0  1  1  0  1  1  0  0  1  0  1  1  0  0  0  0  1  0  0  1  1  0  1  0  1 -122.25       2      0.0
94   0  0  1  0  1  1  1  1  1  0  1  0  0  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  0  1 -122.25       1      0.0
95   1  1  0  1  0  0  1  1  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -122.25       1      0.0
96   0  0  1  0  1  1  1  1  0  1  1  1  0  0  1  0  0  0  0  1  1  1  0  0  0  1  1  0  0  1 -122.25       1      0.0
97   1  1  1  0  0  1  1  1  1  0  1  0  0  0  0  1  1  0  0  0  1  1  0  1  0  0  0  1  1  1  -122.0       1      0.0
98   1  1  0  1  1  0  1  0  0  1  1  0  1  0  1  1  0  1  1  0  0  0  1  0  0  1  1  1  0  0  -122.0       1      0.0
99   1  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  0  1  0  0  1  0  0  0  1  1  1  -122.0       1      0.0
100  1  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  1  0  1  1  1  0  1  -122.0       1      0.0
101  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  0  1  0  0  1  1  1  1  1  -122.0       1      0.0
102  1  1  0  1  1  0  1  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  1  1  1  0  1  1  0  -122.0       1      0.0
103  0  1  0  1  0  0  0  1  0  1  0  1  1  0  1  0  0  1  1  0  0  1  1  1  1  1  1  1  0  0  -122.0       1      0.0
104  0  0  0  1  0  0  1  1  0  1  1  1  1  1  1  0  1  0  1  0  0  1  1  0  1  1  0  1  0  0  -122.0       1      0.0
105  0  1  0  1  1  0  1  0  0  1  0  1  1  1  1  1  1  1  1  0  0  0  0  0  1  0  1  1  0  0  -122.0       1      0.0
106  1  0  1  0  1  0  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  1  0  1  0  1  1  0  0  1  -122.0       1      0.0
107  0  0  1  0  0  1  1  1  0  1  1  0  0  0  0  1  1  0  0  1  1  1  0  0  1  1  0  0  0  1  -122.0       1      0.0
108  1  0  1  1  1  0  0  0  1  1  0  1  1  1  0  1  1  1  0  0  0  0  0  1  1  0  0  1  1  0  -122.0       1      0.0
109  0  0  1  0  1  1  0  1  1  0  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  1  0  1  0  1  -122.0       1      0.0
110  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  0  0  1  1  1  0  0  0  1  1  1  0  1  -122.0       1      0.0
111  1  0  1  1  1  0  0  0  0  0  0  1  1  0  1  1  1  1  0  0  0  0  0  1  0  0  0  1  1  1  -122.0       1      0.0
112  0  1  1  0  1  1  0  0  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  1  0  1  1  1  0  1  -122.0       1      0.0
