--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
0    0  0  0  1  1  1  1  1  0  1  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  1  1  1  1  0  0  0  1  1  0  0  0  0  0  -356.0       1     0.0
1    0  0  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  1  0  1  1  1  0  0  1  0 -352.75       1     0.0
2    0  1  1  1  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  0  1  1  1  1  0  -351.0       1     0.0
3    0  0  1  0  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  1  1  1  1  1  1  0  1  0  0  0  0  0  1  1  1  1  0  0  1  0 -350.75       1     0.0
4    0  0  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  1  1  0 -350.75       1     0.0
293  1  0  1  1  0  1  0  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  0  0  1  0  1  1  1  1  0  1  1  1 -349.75       1   0.025
5    1  0  0  1  1  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  0  1  0  0  0  1  1  1  1  0  0  0  0  0  1  1  0  1  0  0 -348.75       1     0.0
6    0  0  1  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  1  1  1  -348.0       1     0.0
311  0  1  1  0  1  1  0  0  1  1  0  0  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  0  1  0  0  0  0  1  1  0  1  0  -348.0       1    0.05
7    1  0  0  1  0  1  1  1  0  0  1  0  1  1  0  1  0  0  1  0  0  1  0  1  0  1  0  1  1  1  0  1  0  1  1  0  0  1  0  1 -347.75       1     0.0
381  0  1  1  0  1  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  1  1  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  1  0 -347.75       1    0.05
8    1  1  0  1  0  1  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  0  1  0  1  1  0  1  0  1  0  0  1  1  0  0  0  -347.0       1     0.0
233  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  0  0  1  1  1  0  1  0  0  0  1  1  1  0  0  0  0  0  0  1  0  1  0  0  0  -347.0       1   0.025
9    0  1  0  0  1  0  0  0  1  1  0  1  1  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  1  1  1  0  0  1  0  0  1  0 -346.75       1     0.0
10   0  1  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  1  0  0  1  0  1  0  1  0  1  0  0  1  1  1  1  0 -346.75       1     0.0
11   0  0  1  0  0  0  0  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  0  1  1  1  0  1  1  0 -346.75       1     0.0
12   0  0  0  0  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0  0  1  1  1  1  0  1  1  1  1  0  1  0  0  1  0 -346.75       1     0.0
190  0  0  1  1  0  1  1  0  1  0  1  0  1  1  0  0  0  0  1  1  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  0  1  0  1 -346.75       1   0.025
207  0  1  0  0  1  0  0  0  1  1  0  0  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  1  1  1  0  1  0 -346.75       1   0.025
13   0  1  0  1  0  1  1  1  0  0  1  0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  0  0  0  0  0  1  1  1  0  0  1  0  1  -346.0       1     0.0
14   1  1  0  0  1  1  0  0  0  1  0  0  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  0  1  0  -346.0       1     0.0
15   0  0  0  1  1  1  1  0  1  1  0  0  1  0  1  0  0  0  1  1  0  1  1  0  0  1  1  1  1  1  1  0  0  0  1  0  1  0  0  0  -346.0       1     0.0
16   0  0  1  1  0  1  1  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  1  1  1  1  1  0  1  0  1  0  0  0  1  1  0  -346.0       1     0.0
17   1  1  0  1  1  0  0  1  1  0  0  1  0  1  1  0  0  0  1  0  1  0  1  1  1  1  1  0  0  0  1  1  1  0  0  0  0  0  0  1  -346.0       1     0.0
18   1  1  0  1  1  0  1  1  0  1  1  0  1  1  1  0  0  0  1  1  1  1  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  1 -345.75       1     0.0
19   0  0  0  1  1  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0  1  1  0  0  1  0  0  0  0  0  1  0  1  1  1  1  0  1  1  1 -345.75       1     0.0
20   0  0  0  0  1  1  0  0  1  1  0  0  1  0  1  0  1  0  0  1  1  1  0  1  0  1  1  1  1  1  1  0  0  0  1  1  1  0  1  0 -345.75       1     0.0
21   0  1  0  1  1  1  1  1  0  1  0  0  1  1  1  0  1  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  1  0  0 -345.75       1     0.0
22   0  1  1  0  0  1  0  0  1  1  0  0  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  0  1  0  0  1  1  1  1  0  1  0 -345.75       1     0.0
23   0  0  0  1  1  1  1  1  0  1  0  0  1  0  1  0  0  1  1  0  0  1  0  0  0  1  1  1  0  0  0  0  0  0  0  1  0  1  1  0 -345.75       1     0.0
24   0  0  0  1  0  1  1  1  0  0  1  0  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  0  1  0  0  1  1  1  1  1  1  0  1 -345.75       1     0.0
25   0  0  0  1  1  1  0  0  1  0  0  0  1  0  1  0  1  0  0  1  0  1  0  0  0  1  1  0  1  0  1  0  1  1  1  1  0  1  1  0 -345.75       1     0.0
157  0  0  1  1  0  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  0  0  0  0  1  0  0  1  0  1  0  1  1  1  1  1  0  1  0  1 -345.75       1   0.025
264  1  1  0  1  1  1  0  0  0  1  0  0  1  1  1  0  1  0  1  1  1  1  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  0  0 -345.75       1   0.025
274  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  0  0  1  1  1  0  1  1  0  1  1  1  1  1  1  1  0  0  0  0  1  0  1  0 -345.75       1   0.025
296  0  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  0  1  0  1  1  1  1  1  0  1  0 -345.75       1   0.025
