--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
74   1  1  0  0  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  0  0  1  0  1  1  1  1  1  0  1  0  1  1  1  1  1  0  0  0  1  1  1  1  1  0  0  0  0  1  0  1  0  0  0  1  0  0  1 -443.75       1 0.016667
180  0  0  0  0  1  0  0  0  0  0  1  0  1  0  1  1  0  0  1  0  0  1  0  1  0  1  0  1  1  1  0  1  1  1  1  1  1  1  1  1  1  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  0  1  0 -443.75       1 0.033333
310  1  1  0  0  1  1  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1  0  0  1  1  1  1  1  1  0  1  1  0  0  1  0  0  0  1  1  1  1  1  0  0  1  0  1  0 -443.75       1 0.066667
16   0  1  1  0  1  0  0  1  1  0  0  0  0  1  1  1  0  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  0  1  1  1  0  0  1  1  1  1  0  1  0  1  1  0  0  1  0  1  0  -443.0       1      0.0
17   0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  1  1  0  0  1  0  1  1  1  0  0  0  1  1  1  0  1  1  1  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  1  0  1  1  0  1  1  0  1  0  -443.0       1      0.0
86   0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  1  0  0  0  1  0  1  0  1  0  1  0  0  1  1  0  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  1  0  1  0  1  0  1  1  0  0  1  1  1  0  -443.0       1 0.016667
98   1  1  0  0  1  0  0  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  0  1  1  1  1  1  1  0  0  1  0  1  0  1  0  1  0  0  1  1  0  0  1  0  0  1  0  0  0  1  1  0  1  1  1  1  0  -443.0       1 0.016667
103  0  1  0  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  1  1  1  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  0  0  1  0  0  0  1  0  1  1  0  1  1  1  1  1  -443.0       1 0.016667
111  1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  1  1  0  1  0  1  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  0  0  0  1  0  0  0  1  0  1  1  0  0  1  0  1  0  -443.0       1 0.016667
165  0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  0  0  1  0  0  0  1  1  1  0  1  1  1  1  0  0  1  1  1  1  1  0  1  1  1  0  1  1  0  0  0  0  0  1  1  1  0  1  0  0  0  1  0  1  0  -443.0       1 0.033333
236  1  1  0  0  1  0  0  1  0  0  1  1  1  0  1  1  0  1  0  0  0  1  0  0  0  1  0  1  1  0  1  1  1  0  0  1  1  0  0  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  0  1  0  0  1  1 -442.75       1     0.05
18   0  1  0  0  1  0  0  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  1  1  0  1  1  1  0  1  1  0  0  0  0  1  1  0  0  1  1  0  1  0  0  0  1  1  0  0  1  0  1  0  -442.0       1      0.0
19   0  1  0  1  1  0  1  0  0  0  0  0  1  1  1  0  0  0  0  1  0  1  1  0  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  1  0  0  1  0  0  1  0  0  1  0  1  0  1  1  0  1  1  0  1  0  -442.0       1      0.0
67   1  0  0  0  1  0  0  1  0  0  0  1  1  1  1  1  0  0  0  1  1  1  0  1  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  1  0  1  1  0  0  1  0  1  1  0  0  1  1  1  0  0  0  0  1  0  -442.0       1 0.016667
123  1  0  0  0  1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  0  1  1  1  0  1  0  1  1  0  0  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  0  0  0  0  1  1  1  0  0  1  1  0  1  0  -442.0       1 0.016667
258  1  0  0  0  1  0  0  1  1  0  0  0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  0  1  0  1  1  0  0  1  1  0  1  -442.0       1     0.05
306  1  1  0  1  1  0  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  1  1  1  1  0  0  1  1  0  0  1  1  1  1  1  0  0  1  0  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  0  -442.0       1     0.05
320  1  1  0  0  1  0  0  1  0  0  0  0  1  0  0  1  1  1  0  0  0  1  0  0  0  1  1  1  1  1  1  1  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  0  0  0  0  1  1  0  0  1  1  0  1  -442.0       1     0.05
323  1  1  0  0  1  1  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  0  1  1  0  1  1  1  1  1  1  0  1  0  0  1  1  0  0  1  1  1  0  1  1  0  1  0  0  1  1  -442.0       1 0.083333
20   1  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  1  0  1  0  1  1  1  1  1  1  1  1  0  0  1  1  1  1  0  0  1  1  0  0  1  0  0  1  0  1  1  1  0  0  0  1  1  0  0 -441.75       1      0.0
21   0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  0  1  1  0  0  0  1  1  0  1  1  1  1  0  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  1  0 -441.75       1      0.0
22   1  0  0  0  1  0  0  0  0  0  1  0  1  0  0  1  0  0  1  1  1  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  0  1  0  0  0  1  1  0  0  1  1  1  0 -441.75       1      0.0
95   0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  1  0  1  0  0  0  1  1  1  1  1  1  0  1  1  1  0  0  1  1  1  0  1  1  0  0  1  0  0  0  0  1  0  1 -441.75       1 0.016667
135  1  1  0  1  1  0  1  0  1  0  1  1  0  0  1  0  1  1  0  1  1  0  0  0  0  1  0  1  1  1  0  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  1  0  1  0  0  0  1  1  0  0  0  1  1  0 -441.75       1 0.016667
192  0  1  0  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  1  1  0  0  1  0  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  1  0  0  0  1  1  0  0  0  1  1  0  0  1  1  0  1  0 -441.75       1 0.033333
196  0  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  1  0  0  0  0  1  0  1  0  0  1  1  1  1  1  1  1  1  1  1  1  1  0  1  0  0  1  0  1  1  0  0  1  0  0  0  1  1  0  0  1  0  1  1 -441.75       1 0.033333
202  0  1  0  0  1  0  1  0  0  0  1  0  1  0  1  1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  0  0  0  0  1  0  1  1  0  0  0  1  1  0  0  1  0  1  0 -441.75       1 0.033333
204  0  1  0  0  1  0  1  0  0  0  1  1  1  0  0  1  1  1  0  0  0  1  1  1  0  0  0  0  1  1  0  1  0  1  1  1  1  1  0  0  1  1  1  0  1  0  0  1  0  0  1  0  1  1  0  0  1  0  0  0 -441.75       1 0.033333
213  0  1  0  0  1  1  0  0  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  1  0  1  1  1  1  1  1  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  1  1  0  0  1  0  1  0 -441.75       1 0.033333
234  0  0  0  0  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  0  0  0  0  0  1  1  1  1  1  1  0  1  0  0  1  0  1  1  0  1  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  1  1  1  1 -441.75       1 0.033333
24   0  1  1  1  0  1  1  1  0  1  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  1  1  1  1  0  1  0  1  0  0  0  0  0  1  0  0  1  1  1  1  1  1  1  0  0  0  1  0  0  1  0  0  1  0  1  -441.0       1      0.0
25   1  0  0  0  1  0  0  1  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  -441.0       1      0.0
114  0  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  1  0  0  1  0  1  1  1  0  0  1  0  1  1  0  1  1  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  0  1  0  0  0  1  0  1  1  0  1  0  -441.0       1 0.016667
415  0  1  0  0  1  0  0  1  1  1  1  0  1  0  1  1  0  1  0  0  0  1  0  0  0  1  1  0  1  0  1  1  1  0  0  1  0  1  1  1  1  1  1  0  0  1  0  1  0  0  0  0  1  0  0  0  1  0  1  1  -441.0       1 0.083333
444  1  1  0  0  1  0  1  1  0  0  0  0  1  0  1  0  1  0  0  0  0  1  0  1  0  1  1  1  1  1  0  1  1  1  1  1  1  1  1  1  0  1  1  0  0  1  0  0  1  0  1  1  1  1  0  0  1  0  1  0  -441.0       1 0.116667
26   0  1  0  0  1  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  1  0  0  0  1  1  1  1  0  0  1  1  0  1  1  0  1  1  1  0  1  1  0  0  1  0  1  1  1  0  1  0  0  0  1  0  1  1  1 -440.75       1      0.0
27   1  1  1  1  1  0  0  0  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  0  1  1  1  1  1  0  0  0  0  0  1  0  1  1  1  0  1  1  0  0  1  0  0  1  0  0  0  1  0  0  0  1  0  1  0 -440.75       1      0.0
28   0  1  0  1  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  0  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  1  0  1  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  1  1  0  1 -440.75       1      0.0
29   0  1  0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  1  1  0  0  0  1  1  1  1  0  1  1  1  1  1  0  1  0  1  0  1  1  0  0  1  0  0  1  0  1  0  1  1  0  0  1  0  1  1 -440.75       1      0.0
93   0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  1  1  1  0  0  1  0  1  0  1  0  1  1  0  0  1  0  1  0 -440.75       1 0.016667
159  0  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  1  0  0  0  1  1  1  0  1  1  1  1  0  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  1  0  1  0 -440.75       1 0.033333
244  1  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  1  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  1  0  0  0  0  1  0 -440.75       1     0.05
247  0  1  0  0  1  0  0  0  1  1  1  1  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  0  0  0  1  0  1  1  1  0  0  0  1  1  0  1  0  1  1  1  0  1  1  0  0  1  0  1  1  1  0 -440.75       1 0.033333
334  1  1  0  0  1  0  0  0  0  1  1  1  0  1  1  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  0  0  1  0  1  1 -440.75       1     0.05
379  0  1  0  0  1  0  0  1  1  0  0  0  1  0  1  0  1  1  0  0  0  1  1  1  0  1  1  1  1  1  0  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0 -440.75       1 0.066667
30   0  1  1  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  0  0  0  1  0  1  0  1  1  1  0  0  0  1  0  1  0  -440.0       1      0.0
31   0  0  0  0  1  0  0  0  1  0  1  0  1  0  1  1  0  0  0  0  0  0  0  1  1  1  1  1  1  0  0  1  1  1  1  1  1  0  1  1  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  1  1  0  1  0  -440.0       1      0.0
32   1  0  1  1  1  0  0  0  0  0  1  1  1  0  1  1  0  0  0  1  1  1  1  1  0  0  0  0  1  0  0  1  0  1  0  1  1  1  0  0  1  0  1  0  0  1  1  1  0  0  0  1  1  1  0  0  1  0  1  0  -440.0       1      0.0
34   0  1  0  0  1  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  0  0  0  0  1  1  1  1  1  1  1  0  0  1  0  1  1  1  0  1  0  0  0  1  1  1  1  0  1  0  1  1  0  0  1  1  1  1  -440.0       1      0.0
35   1  0  0  0  1  0  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  0  1  1  0  0  0  0  1  0  1  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  0  0  1  0  1  1  -440.0       1      0.0
106  1  1  1  1  0  1  0  0  1  1  0  0  0  1  1  1  0  0  0  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  0  0  0  1  1  0  0  0  1  0  0  1  0  1  1  0  0  0  0  1  0  0  1  0  1  1  -440.0       1 0.016667
115  1  1  0  0  1  0  1  0  0  0  0  1  1  0  1  1  1  0  0  0  1  1  1  1  0  1  0  1  1  1  0  0  1  1  0  1  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  0  0  1  0  0  1  0  1  0  -440.0       1 0.016667
147  0  1  0  0  1  1  1  0  0  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  1  1  1  1  0  0  0  0  1  0  1  1  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  0  -440.0       1 0.016667
174  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0  1  0  1  0  1  1  0  0  1  1  1  1  1  1  1  1  1  0  1  1  0  0  0  1  0  0  1  1  1  1  1  0  0  1  0  1  0  -440.0       1 0.033333
302  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  1  0  0  1  1  0  0  1  1  1  1  1  0  1  1  0  0  0  1  1  0  0  1  0  1  1  0  1  1  1  1  0  -440.0       1     0.05
419  0  0  0  0  0  0  1  0  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  1  0  1  1  1  0  0  1  1  0  0  0  1  1  1  1  0  -440.0       1     0.05
421  0  1  1  0  1  0  0  0  0  1  1  1  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  0  0  0  1  1  1  1  1  1  0  0  1  1  0  1  1  0  0  1  0  0  0  1  1  0  1  1  -440.0       1 0.083333
36   0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  0  0  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  0  1  1  1  0  0  1  1  0  0  1  0  1  0  0  0  1  0  1  0 -439.75       1      0.0
