--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
41   1  1  0  0  0  0  1  0  1  1  0  1  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1 -539.25       1    0.02
135  1  1  0  1  0  0  0  0  0  0  0  1  1  1  0  1  1  0  0  1  0  1  0  1  0  0  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  0  1  0  0  1  1  0  1  1  -531.0       1    0.02
303  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  1  1  0  1  0  1  0  1  0  0  0  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  1  1  0  1  -531.0       1    0.04
86   1  1  0  1  1  0  1  0  1  1  1  1  0  0  0  0  1  0  1  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  1  1  0  0  1  1  0  0  0  1  0  1  1  0  1  1  -530.0       1    0.02
184  1  1  0  1  0  0  1  0  0  0  0  1  1  1  0  1  1  0  0  0  0  1  0  1  0  0  0  1  0  1  0  0  0  0  0  1  1  1  1  1  1  0  1  0  0  1  1  1  0  1  -530.0       1    0.02
258  1  1  0  0  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  1  0  0  1  1  1  0  1  1  1  0  1  0  0  1  1  1  0  1  -530.0       1    0.04
0    1  0  1  0  0  1  1  0  1  0  1  1  0  1  0  0  0  1  0  1  1  1  0  0  0  0  0  1  1  0  0  1  1  0  1  1  1  0  1  0  1  1  0  0  0  0  1  1  0  1 -529.25       1     0.0
259  0  1  0  0  0  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  1  0  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  1  1 -529.25       1    0.04
1    1  1  0  1  0  0  1  0  1  0  1  1  0  1  0  1  1  0  1  1  0  1  0  1  0  1  1  0  1  1  1  0  0  0  0  1  0  0  0  0  1  1  0  0  0  1  1  1  0  1  -529.0       1     0.0
64   1  1  0  0  0  0  1  0  1  0  1  1  0  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  1  1  1  0  1  -529.0       1    0.02
78   1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  1  1  0  1  1  1  0  1  1  1  0  0  0  0  1  1  0  0  1  -529.0       1    0.02
2    1  1  0  0  0  0  1  0  1  0  1  1  0  1  1  0  0  0  1  1  0  1  0  1  0  0  0  1  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  1  0  1 -528.25       1     0.0
3    1  0  0  0  0  1  1  0  1  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  0  1 -528.25       1     0.0
4    1  1  0  0  1  0  1  0  1  1  1  1  0  0  0  1  0  0  0  1  0  1  0  1  0  0  0  1  0  0  0  1  0  0  1  1  1  0  1  1  1  1  0  1  0  1  1  0  0  1 -528.25       1     0.0
123  1  1  0  1  0  0  1  0  1  0  1  1  1  1  0  1  1  0  1  1  1  1  0  1  0  0  0  0  1  0  0  1  0  0  0  1  1  0  1  0  1  0  0  0  0  1  1  0  0  1 -528.25       1    0.02
5    1  1  0  0  1  1  1  1  1  1  0  1  0  0  0  1  0  0  0  1  1  0  0  1  0  0  1  1  1  0  0  1  1  0  1  1  1  0  0  0  1  0  0  0  0  1  1  1  0  1  -528.0       1     0.0
6    1  1  0  1  0  0  1  0  1  0  1  1  0  1  0  0  1  0  0  1  0  1  0  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  0  1  0  1  0  0  1  1  0  1  1 -527.25       1     0.0
201  1  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  0  0  1  1  0  1  0  0  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1 -527.25       1    0.02
7    1  0  0  0  1  0  1  0  1  1  1  0  0  1  0  0  0  1  1  1  1  1  1  0  0  0  0  0  0  0  0  1  0  1  1  1  1  0  1  0  1  1  0  0  0  0  1  0  1  1  -527.0       1     0.0
8    1  1  0  1  0  0  1  0  1  1  1  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  0  1  0  1  1  1  0  0  0  1  1  1  0  1  1  0  0  0  0  0  1  0  0  1  -527.0       1     0.0
299  1  1  0  0  1  0  1  0  1  0  1  1  1  0  0  1  1  0  1  1  0  0  0  0  0  0  0  1  1  0  0  1  0  0  1  1  0  0  1  1  1  0  0  0  0  1  1  0  1  1  -527.0       1    0.04
9    1  0  0  1  1  0  0  0  1  1  0  1  0  1  0  1  1  1  1  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  0  0  0  0  1  1  0  1  0  1  1  0  0  1 -526.25       1     0.0
